Committee Name|Form B6 ID|Date Received|Form ID|Expenditure Date|Amount|Description|Recipient Name|Recipient Address
LAMBERT FOR LEGISLATURE COMMITTEE(DISSOLVED)|12CFL004823|2012-05-24|10|2012-05-15|361.32|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
BURKE HARR FOR LEGISLATURE |10CFL004542|2010-10-19|10|2010-10-13|2897|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
TERESA WHITEHEAD FOR LEGISLATURE (DISSOLVED)|10CFL004543|2010-10-19|10|2010-10-13|2897|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
RALSTON ARENA COMPLEX ELECTION (DISSOLVED)|11CFL004727|2011-05-02|10|2011-04-27|1800|Direct Mail Services|Gridiron Communications|12801 Sandy Ct, Granger, IN
MAYHEW FOR LEGISLATURE |12CFL004787|2012-05-07|10|2012-05-01|316.24|printing|Unionist Printing|1309 NW Radial Hwy, Omaha, NE
BOLZ FOR LEGISLATURE|12CFL004817|2012-05-24|10|2012-05-14|581.81|Phoning |Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
KEN HAAR FOR LEGISLATURE|12CFL004819|2012-05-24|10|2012-05-14|989|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
HOWARD FOR LEGISLATURE (DISSOLVED)|12CFL004820|2012-05-24|10|2012-05-14|483.75|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
JERRY JOY FOR LEGISLATURE (DISSOLVED)|12CFL004821|2012-05-24|10|2012-05-14|722.62|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
KOLOWSKI FOR LEGISLATURE|12CFL004822|2012-05-24|10|2012-05-14|722.62|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
THE COMMITTEE TO RE-ELECT REGENT BOB WHITEHOUSE|12CFL004826|2012-05-24|10|2012-05-14|315|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
JUDY DOMINA FOR LEGISLATURE|12CFL004818|2012-05-24|10|2012-05-14|722.62|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
JUDY DOMINA FOR LEGISLATURE|12CFL004818|2012-05-24|10|2012-05-15|722.63|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
JERRY JOY FOR LEGISLATURE (DISSOLVED)|12CFL004821|2012-05-24|10|2012-05-15|722.63|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
KOLOWSKI FOR LEGISLATURE|12CFL004822|2012-05-24|10|2012-05-15|722.63|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
LUETCHENS FOR LEGISLATURE (DISSOLVED)|12CFL004824|2012-05-24|10|2012-05-14|361.31|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
MAYHEW FOR LEGISLATURE |12CFL004825|2012-05-24|10|2012-05-14|581.81|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
MCINTYRE FOR STATE BOARD OF EDUCATION|10CFL004541|2010-10-19|10|2010-10-13|2896|Vote by mail project|Hudson Bay Company|11032 Vera Cruz Ave N Champlin, MN 55316
LAUTENBAUGH FOR LEGISLATURE|10CFL004592|2010-10-15|10|2010-10-12|1701|Newspaper|Enterprise Publishing|Blair, Ne 68008
KEN HAAR FOR LEGISLATURE|12CFL004819|2012-05-24|10|2012-05-15|989|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
HOWARD FOR LEGISLATURE (DISSOLVED)|12CFL004820|2012-05-24|10|2012-05-15|483.75|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
LAMBERT FOR LEGISLATURE COMMITTEE(DISSOLVED)|12CFL004823|2012-05-24|10|2012-05-14|361.31|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
LUETCHENS FOR LEGISLATURE (DISSOLVED)|12CFL004824|2012-05-24|10|2012-05-15|361.31|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
MAYHEW FOR LEGISLATURE |12CFL004825|2012-05-24|10|2012-05-15|581.81|Phoning|Meyer Teleservices|14 N Seventh Ave, St. Cloud, MN 56303
JOHN SIEL FOR SCHOOL BOARD (NOT REGISTERED)|12CFL004852|2012-11-07|10|2012-10-30|141.67|Mailing |Integrated Print Solutions |Po Box 48, Grimes, Iowa
JOHN SIEL FOR SCHOOL BOARD (NOT REGISTERED)|12CFL004852|2012-11-07|10|2012-10-26|56|Newspaper|Franklin County Chronicle|707 15th Ave, Franklin, NE 
CHUCK HASSEBROOK FOR GOVERNOR|14CFL005344|2014-08-29|10|2014-08-27|176495|TV MEDIA BUY|PINPOINT MEDIA LLC|4659 KINSEY LANE ALEXANDRIA VA 22311
CHUCK HASSEBROOK FOR GOVERNOR|14CFL005354|2014-09-12|10|2014-09-04|176495|TV Media Buy|Pinpoint Media LLC|4659 Kinsey Lane Alexandria VA 22311
KEN HAAR FOR LEGISLATURE|12CFL004833|2012-10-23|10|2012-10-23|5379.5|Journal Star Newspaper Ad|Clark Creative Group|Omaha, NE 
JOHN SIEL FOR SCHOOL BOARD (NOT REGISTERED)|12CFL004852|2012-11-07|10|2012-10-30|524.3|Printing |Office Max|4920 3rd Ave, Kearney, NE
CHUCK HASSEBROOK FOR GOVERNOR|14CFL005344|2014-08-29|10|2014-08-21|146475|TV MEDIA BUY|Pinpoint Media LLC|4659 KINSEY LANE, ALEXANDRIA VA 22311
CHUCK HASSEBROOK FOR GOVERNOR|14CFL005344|2014-08-29|10|2014-08-28|9600|AD PRODUCTION|SOMETHING ELSE STRATEGIES LLC|212 GOLDEN WILLOW CT EASLEY SC 29642
CHUCK HASSEBROOK FOR GOVERNOR|14CFL005375|2014-09-22|10|2014-09-18|10885|Ad Production|Something Else Strategies LLC|212 Golden Willow Ct Easley SC 29642
CITIZENS FOR SCHNOOR|15CFL005842|2015-12-21|10|2015-12-13|500|NOT LISTED|NOT LISTED|NOT LISED
