Contributor Name|Form ID|Contributor ID|Postmark Date|Date Received|Microfilm Number|Contributor Type|Date Last Revised|Last Revised By|Contributor Phone
TEAM SAM|08CFL002693|08CUA04930|2008-07-17|2008-07-21||C|2008-07-21|nadc06|
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|08CFL002673|08CON13671|2008-07-10|2008-07-14|7790230|C|2008-07-21|nadc06|9164833055
ACRC/SUPER TUESDAY FOR EQUAL RIGHTS|10CFL004283|08CON13671|2010-02-12|2010-02-16|0|C|2010-02-16|nadc06|9164442278
REPUBLICAN STATE LEADERSHIP COMMITTEE|13CFL004933|09CUA06199|2013-09-10|2013-09-10|8940107|P|2013-09-16|nadc01|
OTB ARIZONA, LLC|14CFL005308|12CUA07046|2014-05-01|2014-05-02|9130209|C|2014-05-07|nadc01|
ALLIANCE COAL LLC|14CFL005336|14CUA08127|2014-08-11|2014-08-11|9200048|C|2014-08-18|nadc06|9182957606
NATIONAL BEER WHOLESALERS ASSOCIATION|15CFL005772|13CUA07394|2015-04-09|2015-04-15|9410092|I|2015-04-20|nadc06|706834300
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004862|09CUA06199|2012-11-08|2012-11-13|8740016|C|2012-11-21|nadc05|2024485160
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004866|09CUA06199|2005-07-08|2005-07-08|7070034|C|2012-11-21|nadc05|2023492400
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005175|09CUA06199|2014-01-10|2014-01-10|8970112|C|2014-01-13|nadc01|
COMCAST CORPORATION|14CFL005326|06CUA04117|2014-06-20|2014-06-20|9170200|C|2014-06-25|nadc01|
CONSUMER FINANCIAL SERVICES OF WAUKEGAN, IL LLC|14CFL005330|14CUA07790|2014-06-21|2014-06-24|9180193|C|2014-06-30|nadc01|8476255626
DEVON ENERGY|14CFL005342|14CUA08130|2014-08-11|2014-08-13|9200049|C|2014-08-18|nadc06|
CONSUMER FINANCIAL SERVICES OF WAUKEGAN, IL LLC|14CFL005346|14CUA07790|2014-09-08|2014-09-10|9210012|C|2014-09-15|nadc06|
OTB ARIZONA, LLC|14CFL005348|12CUA07046|2014-09-09|2014-09-10|9210014|C|2014-09-15|nadc06|
CONKLIN COMPANY, INC.|14CFL005387|13CUA07392|2014-10-07|2014-10-08|9230007|C|2014-10-17|nadc06|9524456010
NATIONAL EDUCATION ASSOCIATION|14CFL005389|06CUA03815|2014-10-08|2014-10-14|9230059|L|2014-10-20|nadc06|
COMCAST CORPORATION|14CFL005430|06CUA04117|2014-11-06|2014-11-06|9260032|C|2014-11-10|nadc06|215868036
REPUBLICAN STATE LEADERSHIP COMMITTEE|14CFL005440|09CUA06199|2014-11-10|2014-11-14|9260113|P|2014-11-18|nadc06|202485160
HERBALIFE INTERNATIONAL OF AMERICA, INC.|14CFL005332|14CUA07613|2014-07-01|2014-07-01|9180240|C|2014-07-07|nadc01|
OTB ARIZONA, LLC|14CFL005334|12CUA07046|2014-07-14|2014-07-14|9190094|C|2014-07-21|nadc01|
MACLEAN-FROGG|14CFL005350|14CUA08156|2014-09-09|2014-09-11|9210013|C|2014-09-15|nadc06|
BOLLINGER SHIPYARDS|14CFL005434|14CUA08281|0014-11-05|2014-11-10|9260112|C|2014-11-18|nadc06|
REPUBLICAN STATE LEADERSHIP COMMITTEE|12CFL004864|09CUA06199|2005-01-11|2005-01-11|6900184|C|2012-11-21|nadc05|2024485160
PEPPER COMPANIES, THE|14CFL005352|14CUA07919|2014-09-10|2014-09-12|9210015|C|2014-09-15|nadc06|3122664703
PROTEUS ACTION LEAGUE|15CFL005803|15CUA08533|2015-07-14|2015-07-14|9440133|C|2015-07-20|nadc06|4132560349
EQUAL JUSTICE USA|15CFL005825|15CUA08544|2015-11-10|2015-11-10|9460110|C|2015-11-16|nadc06|7188018940
EQUAL JUSTICE USA|15CFL005827|15CUA08544|2015-11-13|2015-11-13|9460111|C|2015-11-16|nadc06|7188018940
EQUAL JUSTICE USA|15CFL005839|15CUA08544|2015-12-04|2015-12-08|9460220|C|2015-12-14|nadc06|7188018940
PROTEUS ACTION LEAGUE|15CFL005829|15CUA08533|2015-11-13|2015-11-13|9460112|C|2015-11-16|nadc06|4132560349
EQUAL JUSTICE USA|15CFL005822|15CUA08544|2015-10-20|2015-10-20|9460015|C|2015-10-27|nadc06|7188018940
