ID|Committee Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Candidate Last Name|Candidate First Name|Interest Paid
258|Citizens for Nolte Committee|94 Post Primary Campaign Statement|1995-01-09|1995-01-10|$10.00|PAID||||Nolte|Dan|
259|Nancy O'Brien for Regent|96 1st General Campaign Statement|1996-10-07|1996-10-09|$20.00|PAID||||O'Brien|Nancy|
260|Nancy O'Brien for Regent|93 Annual Campaign Statement|1994-01-31|1994-02-17|$170.00|REDUCED|$0.00|1994-03-23||O'Brien|Nancy|
261|Kathy O'Connor for City Council|97 Post General Campaign Statement|1997-06-23|1997-10-27|$300.00|PAID||||O'Connor|Kathy|
262|Thomas O'Hara for Sarpy County Commissioner|96 Post General Campaign Statement|1997-01-06|1997-01-08|$20.00|REDUCED|$0.00|1997-04-09||O'Hara|Thomas|
263|Owens for County Attorney|98 1st General Campaign Statement|1998-04-13|1998-04-23|$100.00|REDUCED|$0.00|1998-05-05||Owens|Judith|
264|Committee to Elect Dan Park OPPD Board|96 Post General Campaign Statement|1997-01-06|1997-01-09|$30.00|PAID||||Park|Dan|
265|Committee to Elect Dan Park to OPPD Board|96 Post Primary Campaign Statement|1996-06-24|1996-06-28|$40.00|PAID||||Park|Dan|
266|Richard Pierce|Statement of Organization|1996-11-08|1996-11-14|$60.00|REDUCED|$0.00|1997-03-19||Pierce|Richard|
267|James Prauner for Commissioner|98 1st Primary Campaign Statement|1998-04-13|1998-04-21|$80.00|REDUCED|$0.00|||Prauner|James|
268|Price is Right for Education|Statement of Organization|1997-03-21|1997-04-01|$110.00|REDUCED|$0.00|1997-04-29||Price|Marion|
269|Price is Right for Education|97 2nd Primary Campaign Statement|1997-03-31|1997-04-07|$70.00|REDUCED|$0.00|1997-04-29||Price|Marion|
270|Raikes for Legislature|Statement of Organization|1997-08-15|1997-08-22|$70.00|REDUCED|$0.00|1997-08-28||Raikes|Ron|
271|Jim Reed for Hall County Board|98 2nd Primary Campaign Statement|1998-05-04|1998-05-15|$110.00|REDUCED|$0.00|1998-06-23||Reed|Jim|
272|Friends of Linda J. Richards for Nebraska Legislatre|98 2nd Primary Campaign Statement|1998-05-04|1998-05-18|$140.00|REDUCED|$0.00|1998-06-12||Richards|Linda|
273|Friends of Linda J. Richards for Nebraska State Legislature|Statement of Organization|1998-03-06|1998-03-09|$30.00|REDUCED|$0.00|1998-06-12||Richards|Linda|
274|Robak for Legislature|98 1st Primary Campaign Statement|1998-04-13|1998-04-14|$10.00|PAID||||Robak|Jennie|
275|Robak for Legislature|98 2nd Primary Campaign Statement|1998-05-04|1998-05-11|$70.00|PAID||||Robak|Jennie|
276|Robak for Legislature|97 Annual Campaign Statement|1998-02-02|1998-02-04|$20.00|PAID||||Robak|Jennie|
277|Robak for Legislature|93 Annual Campaign Statement|1994-01-31|1994-02-04|$40.00|PAID||||Robak|Jennie|
278|Committee to Elect Rose|95 Annual Campaign Statement|1996-01-31|1996-02-20|$200.00|REDUCED|$0.00|1996-05-09||Rose|Sharon|
279|Committee to Elect Ann Rosenberry|97 Annual Campaign Statement|1998-02-02|1998-02-17|$150.00|REDUCED|$0.00|1998-03-06||Rosenberry|Ann|
280|Rustad for Lt. Governor|Statement of Organization|1997-04-28|1998-01-21|$300.00|PAID||||Rustad|Elliott|
281|Schimek for Legislature|95 Annual Campaign Statement|1996-01-31|1996-02-05|$50.00|PAID||||Schimek|DiAnna|
282|Sarpy Citizens for Tim Schram|95 Annual Campaign Statement|1996-01-31|1996-02-20|$200.00|REDUCED|$0.00|1996-05-14||Schram|Tim|
283|Citizens for Shoecraft|95 Annual Campaign Statement|1996-01-31|1996-02-01|$10.00|PAID||||Shoecraft|Jerry|
284|Citizens for Shoecraft|94 Annual Campaign Statement|1995-01-31|1995-06-27|$300.00|PAID||||Shoecraft|Jerry|
285|Rosemary Skrupa for Regent|97 Annual Campaign Statement|1998-02-02|1998-03-11|$300.00|REDUCED|$40.00|1998-04-13|1998-04-13|Skrupa|Rosemary|
286|Rosemary Skrupa for Regent|94 1st Primary Campaign Statement|1994-04-11|1994-06-10|$300.00|REDUCED|$0.00|1994-08-02||Skrupa|Rosemary|
287|Rosemary Skrupa for Regent|94 2nd Primary Campaign Statement|1994-05-02|1994-06-10|$300.00|REDUCED|$30.00|1994-08-02|1994-08-02|Skrupa|Rosemary|
288|Rosemary Skrupa for Regent|93 Annual Campaign Statement|1994-01-31|1994-06-10|$300.00|REDUCED|$0.00|1994-06-22||Skrupa|Rosemary|
289|Cheryl Smith for District 66 School Board|95 Annual Campaign Statement|1996-01-31|1996-02-20|$200.00|REDUCED|$0.00|1996-05-09||Smith|Cheryl|
290|Smith for Senate|Statement of Organization|1997-09-18|1997-09-30|$120.00|REDUCED|$0.00|1998-03-25||Smith|Steven|
291|Committee to Elect Penny Sophir for Omaha Board of Education|98 2nd Primary Campaign Statement|1998-05-04|1998-05-06|$20.00|REDUCED|$0.00|||Sophir|Penny|
292|Steinman for County Commissioner|Statement of Organization|1993-12-06|1993-12-10|$40.00|REDUCED|$0.00|1994-03-01||Steinman|Linda|
293|Steinman for County Commissioner|95 Annual Campaign Statement|1996-01-31|1996-02-02|$20.00|PAID||||Steinman|Linda|
294|Scott Stempson for Legislature|Statement of Organization|1998-04-10|1998-04-30|$20.00|REDUCED|$0.00|1998-05-12||Stempson|Scott|
295|Stuhr for Common Sense Legislature|Statement of Organization|1994-04-07|1994-04-21|$140.00|REDUCED|$0.00|1994-05-13||Stuhr|Elaine|
296|Committee to Elect Della P. Sullivan|98 1st Primary Campaign Statement|1998-04-13|1998-04-27|$140.00|REDUCED|$0.00|1998-06-09||Sullivan|Della|
297|Committee to Elect Della P. Sullivan|98 2nd Primary Campaign Statement|1998-05-04|1998-05-06|$20.00|REDUCED|$0.00|1998-06-09||Sullivan|Della|
298|Takechi for City Council|96 Annual Campaign Statement|1997-01-31|1998-02-02|$300.00|REDUCED|$0.00|1998-04-14||Takechi|Richard|
299|Lee Terry for City Council|94 Annual Campaign Statement|1995-01-31|1995-02-06|$60.00|PAID||||Terry|Lee|
300|Lee Terry for City Council|93 Post General Campaign Statement|1993-06-21|1993-07-08|$170.00|PAID||||Terry|Lee|
301|Committee for the Re-election of Rudy J. Tesar|93 Annual Campaign Statement|1994-01-31|1994-02-03|$30.00|PAID||||Tesar|Rudy|
302|Committee to Re-Elect Pat Thomas|94 2nd Primary Campaign Statement|1994-05-02|1994-05-05|$30.00|REDUCED|$10.00|1994-06-20|1994-06-20|Thomas|Pat|
303|Committee to Elect Susan Thomas|95 Annual Campaign Statement|1996-01-31|1996-02-09|$90.00|PAID||||Thomas|Susan|
304|Thompson for Public Power|94 Annual Campaign Statement|1995-01-31|1995-06-22|$300.00|PAID||||Thompson|Gary|
305|Thompson for Public Power|93 Annual Campaign Statement|1994-01-31|1994-02-02|$20.00|PAID||||Thompson|Gary|
306|Darlene Tussing for County Commissioner|96 Post General Campaign Statement|1997-01-06|1997-01-13|$70.00|REDUCED|$0.00|1997-04-08||Tussing|Darlene|
307|Committee to Re-Elect Shirley Tyree to the School Board|Statement of Organization|1994-05-20|1994-06-24|$300.00|REDUCED|$0.00|1994-12-30||Tyree|Shirley|
308|Committee to Re-Elect Shirley Tryee to the School Board|94 Post Primary Campaign Statement|1994-06-20|1994-06-24|$40.00|REDUCED|$0.00|1994-12-30||Tyree|Shirley|
309|Committee to Retain Fred Ulrich|96 Annual Campaign Statement|1997-01-31|1997-02-11|$110.00|PAID||||Ulrich|Fred|
310|Committee to Retain Fred Ulrich|95 Annual Campaign Statement|1996-01-31|1996-02-09|$90.00|PAID||||Ulrich|Fred|
2||1998 2nd Primary Campaign Statement|1998-05-04|1998-05-11|$70.00|REDUCED|$0.00|1998-07-01||Young|Reginald|
3|Mike Johanns for Governor|Report of Late Contribution|1998-05-07|1998-05-11|$200.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
4|Mike Johanns for Governor|Report of Late Contribution|1998-05-07|1998-05-11|$200.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
5|Mike Johanns fCitizensor Governor|Report of Late Contribution|1998-05-07|1998-05-11|$200.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
6|Mike Johanns for Governor|Report of Late Contribution|1998-05-12|1998-05-14|$100.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
7|Mike Johanns for Governor|Report of Late Contribution|1998-05-12|1998-05-14|$100.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
8|Mike Johanns for Governor|Report of Late Contribution|1998-05-04|1998-06-22|$1500.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
9|Mike Johanns for Govenor|Report of Late Contribution|1998-05-06|1998-06-22|$1500.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
10|Mike Johanns for Mayor|Report of Late Contribution|1998-05-18|1998-06-22|$1500.00|REDUCED|$0.00|1998-07-30||Johanns|Mike|
12|Rod Johnson for PSC|1998 Post Primary Campaign Statement|1998-06-22|1998-06-24|$20.00|PAID||||Johnson|Rod|
13|Shelley Kiel for Legislature|1997 Annual Campaign Statement|1998-02-02|1998-03-27|$300.00|PAID|||1998-07-01|Kiel|Shelley|
17|Committee to Re-Elect Chris Abboud to the Legislature|97 Annual Campaign Statement|1998-02-02|1998-02-17|$150.00|PAID|||1999-08-18|Abboud|Chris|
18|Committee to Elect Mary Barrett|97 Annual Campaign Statement|1998-02-02|1998-02-17|$25.00|REDUCED|0.00|2010-04-10||Barrett|Mary|
19|Committee to Elect Mary Barrett|96 Post General Campaign Statement|1997-01-06|1997-05-21|$300.00|REDUCED|0.00|2010-04-10||Barrett|Mary|
20|Committee to Elect Mary Barrett|96 2nd General Campaign Statement|1996-10-28|1996-10-31|$30.00|REDUCED|0.00|2010-04-10||Barrett|Mary|
21|Citizens to Re-Elect Frank Christiansen|97 City Post General Campaign Statement|1997-06-23|1997-08-14|$300.00|PAID|||1999-08-02|Christiansen|Frank|
22|Citizens to Re-Elect Frank Christiansen|Report of Late Contribution|1997-04-17|1997-05-06|$1450.00|REDUCED|0.00|2010-04-02||Christiansen|Frank|
23|Citizens to Re-Elect Frank Christiansen|96 Annual Campaign Statement|1997-01-31|1997-02-03|$30.00|PAID|||1999-08-02|Christiansen|Frank|
24|Citizens to Re-Elect Frank Christiansen|97 City 1st Primary Campaign Statement|1997-03-03|1997-03-05|$20.00|PAID|||1999-08-02|Christiansen|Frank|
25|Committee to Re-Elect Jorgensen for OPPD|95 Annual Campaign Statement|1996-01-31|1996-10-29|$300.00|PAID|||1998-09-11|Jorgensen|Dennis|
26|Central Nebraskans for Loschen|2nd Primary Campaign Statement|1998-05-04|1998-05-12|$80.00|PAID|||1999-06-29|Loschen|Terry|
27|Committee to Elect Thomas Lynam Sarpy County Surveyor|98 Post Primary Campaign Statement|1998-06-22|1998-06-24|$20.00|REDUCED|$0.00|1999-03-29||Lynam|Thomas|
28|Friends to Elect Jim Lynch|Statement of Organization|1996-09-11|1996-11-04|$300.00|REDUCED|$0.00|1998-11-06||Lynch|Jim|
29|Friends to Elect Jim Lynch|96 1st General Campaign Statement|1996-10-07|1996-11-04|$280.00|REDUCED|$0.00|1998-11-06||Lynch|Jim|
30|Friends to Elect Jim Lynch|96 2nd General Campaign Statement|1996-10-28|1996-11-04|$70.00|REDUCED|$0.00|1998-11-06||Lynch|Jim|
31|Nichols for Legislature|97 Annual Campaign Statement|1998-02-02|1998-02-04|$20.00|REDUCED|$0.00|1998-09-29|1996-09-23|Nichols|Barb|
32|Nancy O'Brien for Regent|97 Annual Campaign Statement|1998-02-02|1998-05-13|$300.00|PAID||||O'Brien|Nancy|
33|Committee to Elect Walt Peffer|Statement of Organization|1996-02-29|1996-03-04|$40.00|PAID|||1998-10-27|Peffer|Walt|
34|Committee to Elect Walt Peffer|96 1st Primary Campaign Statement|1996-04-15|1996-04-24|$90.00|PAID|||1999-01-29|Peffer|Walt|
35|Committee to Elect Walt Peffer|96 Post Primary Campaign Statement|1996-06-24|1996-08-14|$300.00|PAID|||2000-02-04|Peffer|Walt|
36|Ron Staskiewicz for Public Defender|97 Annual Campaign Statement|1998-02-02|1998-03-13|$300.00|REDUCED|0.00|2010-04-10||Staskiewicz|Ron|
37|Committee to Elect Susan Thomas District Clerk|98 1st Primary Campaign Statement|1998-04-13|1998-04-27|$140.00|PAID||||Thomas|Susan|
38|Committee to Re-Elect Chris Abboud to the Legislature|94 1st Primary Campaign Statement|1994-04-11|1994-04-26|$150.00|PAID||||Abboud|Chris|
39|Agena for Assessor|93 Annual Campaign Statement|1994-01-31|1994-02-09|$90.00|PAID||||Agena|Norman|
40|Agena for Assessor|94 Post Primary Campaign Statement|1994-06-20|1994-06-23|$30.00|PAID||||Agena|Norman|
44|Subby Anzaldo for Mayor|96 Annual Campaign Statement|1997-01-31|1997-02-04|$40.00|REDUCED|$0.00|1997-07-29||Anzaldo|Subby|
45|Subby Anzaldo for Mayor|95 Annual Campaign Statement|1996-01-31|1996-02-06|$60.00|PAID||||Anzaldo|Subby|
46|Subby Anzaldo for Mayor|94 Special Election 2nd Primary Campaign Statement|1994-10-31|1994-11-02|$20.00|PAID||||Anzaldo|Subby|
47|Kathy Baasch for Register of Deeds|98 1st Primary Campaign Statement|1998-04-13|1998-04-15|$20.00|REDUCED|$0.00|1998-05-18||Baasch|Kathy|
48|Guy Banville for OPPD|95 Annual Campaign Statement|1996-01-31|1996-07-19|$300.00|PAID||||Banville|Guy|
49|Committee to Elect Marty Barnhart|Statement of Organization|1994-05-09|1994-05-31|$220.00|REDUCED|$0.00|1994-07-21||Barnhart|Marty|
50|Bartels for School Board|93 Annual Campaign Statement|1994-01-31|1994-02-03|$30.00|REDUCED|$0.00|1995-04-12||Bartels|Keith|
51|Bartels for School Board|94 Annual Campaign Statement|1995-01-31|1995-02-13|$130.00|REDUCED|$30.00|1995-04-12|1995-04-12|Bartels|Keith|
52|Beatty for MUD|93 Annual Campaign Statement|1994-01-31|1995-02-09|$300.00|REDUCED|$0.00|1998-06-08||Beatty|James|
53|Beatty for MUD|94 Annual Campaign Statement|1995-01-31|1995-02-09|$90.00|REDUCED|$0.00|1998-06-08||Beatty|James|
57|Elect Frank Bemis OPPD|98 2nd Primary Campaign Statement|1998-05-04|1998-05-15|$110.00|REDUCED|$0.00|1998-06-09||Bemis|Frank|
58|Re-Elect Frank Bemis|94 Post General Campaign Statement|1995-01-09|1995-01-19|$100.00|PAID||||Bemis|Frank|
61|Bernbeck for Secretary of State|Statement of Organization|1998-03-24|1998-03-25|$10.00|REDUCED|$0.00|1998-09-03||Bernbeck|Kent|
62|Blankenship for Council Committee|96 1st General Election Campaign Statement|1996-10-07|1996-10-10|$30.00|REDUCED|$0.00|1997-07-30||Blankenship|Bruce|
63|Bohlke for Legislature|96 2nd General Campaign Statement|1996-10-28|1996-10-30|$10.00|PAID||||Bohlke|Ardyce|
64|Bart Bonn for Sarpy County Commissioner|Statement of Organization|1996-04-01|1996-04-04|$30.00|PAID||||Bonn|Bart|
65|Bart Bonn for Sarpy County Commissioner|Post Primary Campaign Statement|1996-01-24|1996-01-27|$30.00|PAID||||Bonn|Bart|
66|Bart Bonn for Sarpy County Commissioner|96 1st General Campaign Statement|1996-10-07|1996-10-09|$20.00|PAID||||Bonn|Bart|
67|F|96 Post General Campaign Statement|1997-01-06|1997-01-09|$30.00|PAID||||Bonn|Bart|
68|Mary Ann Borgeson for County Board|94 2nd Primary Campaign Statement|1994-05-02|1994-05-04|$20.00|PAID||||Borgeson|Mary Ann|
69|Mary Ann Borgeson for County Board|94 Post General Campaign Statement|1995-01-09|1995-01-12|$30.00|PAID||||Borgeson|Mary Ann|
71|Boyd for NPPD Director|93 Annual Campaign Statement|1994-01-31|1994-02-09|$90.00|REDUCED|$0.00|1994-03-08||Boyd|Wayne|
72|Anne Boyle for Public Service Commisson|96 2nd General Campaign Statement|1996-10-28|1996-10-30|$20.00|REDUCED|$0.00|1997-02-21||Boyle|Anne|
75|Brad Boyum for Cuming County Sheriff|93 Annual Campaign Statement|1994-01-31|1994-02-09|$90.00|REDUCED|$0.00|||Boyum|Brad|
76|Brad Boyum for Cuming County Sheriff|94 Post General Campaign Statement|1995-01-09|1995-01-19|$100.00|REDUCED|$10.00|1995-03-20|1995-03-20|Boyum|Brad|
77|Ed Brink Campaign Committee|94 2nd General Campaign Statement|1994-10-31|1999-11-07|$70.00|PAID||||Brink|Ed|
78|Ed Brink Campaign Committee|94 Post General Campaign Statement|1995-01-09|1995-01-31|$220.00|PAID||||Brink|Ed|
79|Ed Brink Campaign Committee|95 Annual Campaign Statement|1996-01-31|1996-05-06|$300.00|PAID||||Brink|Ed|
80|Committee to Elect Mark Brosnihan|96 2nd Primary Campaign Statement|1996-05-06|1996-06-26|$300.00|PAID||||Brosnihan|Mark|
81|Frank Brown for City Council|Statement of Organization|1997-03-07||$190.00|REDUCED|$0.00|1997-08-20||Brown|Frank|
82|Frank Brown for City Council|97 1st Primary Campaign Statement|1997-03-03|1997-03-26|$230.00|REDUCED|$0.00|1997-08-20||Brown|Frank|
83|Brueggeman for Sheriff Committee|94 Post Primary Campaign Statement|1994-06-20|1994-06-24|$40.00|REDUCED|$0.00|1994-08-03||Brueggeman|Wm. C.|
84|Brueggeman for Sheriff|98 1st Primary Campaign Statement|1998-04-13|1998-04-27|$140.00|REDUCED|$0.00|1998-05-12||Brueggeman|Wm. C.|
85|Committee for Brumbaugh for OPPD|Statement of Organization|1998-04-06|1998-04-08|$20.00|PAID||||Brumbaugh|Kirk|
86|Committee for Brumbaugh for OPPD|98 1st Primary Campaign Statement|1998-04-13|1998-04-15|$20.00|PAID||||Brumbaugh|Kirk|
87|Committee for Brumbaugh for OPPD|98 2nd Primary Campaign Statement|1998-05-04|1998-05-05|$10.00|PAID||||Brumbaugh|Kirk|
88|Bruning for Legislature|96 2nd General Campaign Statement|1996-10-28|1996-11-06|$90.00|PAID||||Bruning|Jon|
89|Elect Buglewicz MUD Board|96 2nd General Campaign Statement|1996-10-28|1996-10-30|$20.00|PAID||||Buglewicz|George|
90|Irene Burnside for School Board|94 Post General Campaign Statement|1995-01-09|1995-01-18|$90.00|REDUCED|$0.00|1998-02-13||Burnside|Irene|
91|Committee to Re-Elect Buzek|94 2nd General Campaign Statement|1994-10-31|1994-11-07|$70.00|PAID||||Buzek||
92|Campbell for Lancaster County Commissioner|94 Post Primary Campaign Statement|1994-06-20|1994-06-27|$70.00|REDUCED|$0.00|1994-07-19||Campbell|Kathy|
93|Committee to Re-Elect Charles W. Campbell|94 2nd General Campaign Statement|1994-10-31|1994-11-08|$80.00|REDUCED|$0.00|1996-05-10||Campbell|Charles|
95|John Carter for State Legislature|Statement of Organization|1998-04-17|1998-04-13|$60.00|REDUCED|$0.00|1998-05-20||Carter|John|
96|Committee to Elect David "Pete" Catlin|Statement of Organization|1996-09-03|1996-12-02|$300.00|REDUCED||1997-01-09||Catlin|David "Pete"|
