Committee Name|Committee ID|Date Last Revised|Last Revised By|Date Received|Postmark Date|Microfilm Number|Type of Contributor|PAC ID|Description Of Services|Report ID|PAC Name
JOHN HENRY'S PLUMBING, HEATING CO.|99CON00807|2004-09-27|CORIEJ  |2004-09-23|2004-09-22|6840205|C|          ||
CORPORATE EXPRESS|99CON02771|2000-12-19|KAREN   |2000-12-15|2000-12-14|6010224|C|          ||
CYTOGENETICS|99CON02792|2000-12-19|KAREN   |2000-12-15|2000-12-14|6010226|C|          ||
THOMAS INVESTMENT CO, INC.|99CON02821|2000-11-15|KAREN   |2000-10-30|2000-10-27|6000212|C|          ||
FIRST CHRISTIAN CHURCH|99CON02862|2001-01-05|KAREN   |2000-12-26|2000-12-22|6020058|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|2000-10-30|KAREN   |2000-10-25|2000-10-24|5990177|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|2000-11-20|KAREN   |2000-11-14|2000-11-13|6010108|C|          ||
BARKEL ENTERPRISES, INC.|99CON02879|2004-10-08|DAVIDH  |2004-09-10|2004-09-10|6840099|C|          ||
LINCOLN ORTHOPEDIC & SPORTS ME|99CON02883|2000-11-15|KAREN   |2000-11-09|2000-11-08|6010052|C|          ||
SEXTRO-LARSON PODIATRY, PC|99CON02923|2000-11-15|KAREN   |2000-10-30|2000-10-26|6000209|C|          ||
LAMAR COMPANIES, THE|99CON02924|2005-02-24|SERENAD |2005-02-03|2005-02-02|6920111|C|          ||
BEN FRANKLIN OF HASTINGS, INC|99CON02933|2000-12-27|KAREN   |2000-12-21|2000-12-21|6020017|C|          ||
SHERRY'S HALLMARK, INC|99CON02934|2000-12-27|KAREN   |2000-12-21|2000-12-21|6020030|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|2002-10-21|SERENAD |2002-10-18|2002-10-16|6450107|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|2003-04-21|SERENAD |2003-04-18|2003-04-16|6610011|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|2003-07-14|PATTIEV |2003-07-11|2003-07-09|6630093|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|2004-07-02|DAVIDH  |2004-05-10|2004-05-07|6800116|C|          ||
UNITED STEELWORKERS, DISTRICT 11 |99CON03506|2004-06-07|CHERYLD |2004-06-04|2004-06-02|6810060|C|          ||
CHRIST'S PLACE|99CON03516|2001-02-05|KAREN   |2001-01-04|2001-01-03|6020128|C|          ||
KING OF KINGS LUTHERAN CHURCH|99CON03517|2000-12-27|KAREN   |2000-12-22|2000-12-21|6020025|C|          ||
BURWELL BAPTIST CHURCH|99CON03518|2001-01-05|KAREN   |2000-12-27|2000-12-26|6020056|C|          ||
LINCOLN AESTHETIC & RECONSTRUC|99CON03525|2001-07-02|TERII   |2001-06-27|2001-06-26|6200108|C|          ||
LINCOLN FAMILY WELLNESS, P.C.|99CON03526|2001-06-18|PATTIEV |2001-06-14|2001-06-13|6190237|C|          ||
IMPERIAL COURT OF NE, INC|99CON03600|2001-04-02|PATTIEV |2001-03-22|2001-03-21|6100245|C|          ||
SOUTHWEST STUFF|99CON03603|2000-11-15|KAREN   |2000-10-31|2000-10-30|6000210|C|          ||
ASSOC. OF NE COMMUNITY ACTION|99CON03608|2001-02-05|KAREN   |2001-01-12|2001-01-12|6030014|C|          ||
METRO COMMUNITY COLLEGE EDU.|99CON03648|2000-12-19|KAREN   |2000-12-14|2000-12-14|6010235|C|          ||
NORFOLK DAILY NEWS|99CON03651|2002-10-08|TERII   |2002-10-04|2002-10-03|6440110|C|          ||
CATHOLIC BISHOP OF LINCOLN, THE|99CON03674|2000-11-20|KAREN   |2000-11-14|2000-11-10|6010127|C|          ||
CONGREGATION OF TEMPLE ISRAEL|99CON03840|2001-02-16|KAREN   |2001-01-29|2001-01-26|6040241|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|2001-03-23|KAREN   |2001-03-13|2001-03-12|6090036|C|          ||
OMAHA PAPER STOCK COMPANY, INC|99CON04053|2005-03-30|nadc03|2005-02-14|2005-02-10|6930072|C|          ||
WERNER FAMILY BUSINESS, INC.|99CON04057|2001-02-22|KAREN   |2001-02-06|2001-02-05|6050073|C|          ||
BELLEVUE KENO, INC.|99CON04070|2001-03-21|KAREN   |2001-02-27|2001-02-26|6060057|C|          ||
SUBBY ANZALDO ENTERTAINMENT|99CON04207|2001-03-22|KAREN   |2001-03-09|2001-03-08|6070185|C|          ||
WEITZ COMPANY, INC, THE|99CON04208|2001-03-22|KAREN   |2001-03-09|2001-03-08|6070188|C|          ||
HALLMARQ CONSTRUCTION, INC.|99CON04238|2001-03-21|KAREN   |2001-02-28|2001-02-27|6060067|C|          ||
MTAC, INC.|99CON04243|2001-03-21|KAREN   |2001-03-01|2001-02-27|6060076|C|          ||
MTAC, INC.|99CON04243|2001-03-23|KAREN   |2001-03-12|2001-03-09|6090027|C|          ||
MTAC, INC.|99CON04243|2001-06-04|SERENAD |2001-05-30|2001-05-29|6190054|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|2001-05-29|SERENAD |2001-05-23|2001-05-22|6190005|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|2001-07-16|TERII   |2001-07-09|2001-07-06|6200211|C|          ||
ROBERT HANCOCK INVESTMENTS|99CON04252|2002-02-11|TERII   |2002-02-04|2002-02-01|6270230|C|          ||
DICON CORPORATION|99CON04335|2001-07-02|TERII   |2001-06-25|2001-06-22|6200104|C|          ||
DICON CORPORATION|99CON04335|2004-11-01|CORIEJ  |2004-10-25|2004-10-22|6870095|C|          ||
|99CON04348|2001-03-23|KAREN   |2001-03-14|2001-03-13|6090002|C|          ||
MASON VIDEO|99CON04350|2001-10-23|TERII   |2001-10-15|2001-10-12|6220021|C|          ||
B.W.S. LEASING, INC.|99CON04351|2001-03-23|KAREN   |2001-03-12|2001-03-08|6090009|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2001-03-23|KAREN   |2001-03-14|2001-03-13|6090006|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2004-06-14|CHERYLD |2004-06-10|2004-06-09|6810099|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2004-06-14|CHERYLD |2004-06-11|2004-06-09|6810100|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2004-07-12|SERENAD |2004-07-06|2004-07-01|6820205|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2004-10-13|CORIEJ  |2004-10-04|2004-09-30|6850181|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2004-12-13|SERENAD |2004-12-09|2004-12-08|6880170|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2005-01-18|CORIEJ  |2005-01-11|2005-01-10|6900160|C|          ||
BOYER YOUNG DEVELOPMENT|99CON04353|2005-02-24|CORIEJ  |2005-02-09|2005-02-07|6920226|C|          ||
CURT HOFER CONSTRUCTION|99CON04355|2001-03-23|KAREN   |2001-03-14|2001-03-13|6090022|C|          ||
CURT HOFER CONSTRUCTION|99CON04355|2005-02-23|CORIEJ  |2005-01-19|2005-01-14|6910039|C|          ||
UMB FINANCIAL CORPORATION PAC|99CON04359|2001-03-22|KAREN   |2001-03-05|2001-03-01|6070189|C|          ||
SPARKLING KLEAN SERVICE|99CON04364|2001-03-23|KAREN   |2001-03-13|2001-03-12|6090040|C|          ||
WAITT OUTDOOR ADVERTISING|99CON04372|2003-12-12|SERENAD |2003-12-03|2003-12-02|6640158|C|          ||
ROBERT MILLER PROPERTIES|99CON04387|2001-03-23|KAREN   |2001-03-14|2001-03-13|6090028|C|          ||
DIVERSIFIED PROPERTY RESOURCES|99CON04396|2001-03-23|KAREN   |2001-03-15|2001-03-14|6090015|C|          ||
KUBAT PHARMACY|99CON04401|2005-02-24|CORIEJ  |2005-02-09|2005-02-07|6920243|C|          ||
KELLEY &  LEHAN PC|99CUA00067|1999-11-22|KIMH    |1999-11-15|1999-11-11|5760214|C|          ||
GOTHENBURG EDUCATION ASSOCIATI|99CON04424|2001-04-06|KAREN   |2001-03-28|2001-03-26|6130163|C|          ||
PAYROLL MAXX, LLC|99CON04459|2001-04-19|SERENAD |2001-04-10|2001-04-09|6160067|C|          ||
PAYROLL MAXX, LLC|99CON04459|2004-01-14|CHERYLD |2004-01-09|2004-01-08|6650082|C|          ||
PAYROLL MAXX, LLC|99CON04459|2004-09-13|CORIEJ  |2004-09-10|2004-09-09|6840130|C|          ||
PAYROLL MAXX, LLC|99CON04459|2004-11-15|SERENAD |2004-11-10|2004-11-09|6880058|C|          ||
PAYROLL MAXX, LLC|99CON04459|2004-12-13|SERENAD |2004-12-08|2004-12-07|6880191|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|2001-09-04|TERII   |2001-08-29|2001-08-28|6210104|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|2002-03-18|TERII   |2002-03-13|2002-03-12|6330196|C|          ||
ALLENDER & ASSOCIATES, INC.|99CON04504|2003-03-03|SERENAD |2003-02-24|2003-02-21|6520026|C|          ||
BUILD AND LEASE, INC.|99CON04514|2001-04-06|KAREN   |2001-03-29|2001-03-28|6130154|C|          ||
D & S REALTY INC|99CON04516|2001-04-12|KAREN   |2001-04-02|2001-04-02|6150186|C|          ||
ENVIRONMENT PROFESSIONALS, INC|99CON04517|2001-04-06|KAREN   |2001-03-29|2001-03-28|6130160|C|          ||
MICRO BYTES, INC.|99CON04519|2001-04-06|KAREN   |2001-03-30|2001-03-29|6130169|C|          ||
SPECTRACOM, INC.|99CON04524|2001-04-12|KAREN   |2001-04-02|2001-03-31|6150212|C|          ||
SPECTRACOM, INC.|99CON04524|2003-03-31|SERENAD |2003-03-27|2003-03-26|6580033|C|          ||
SPECTRACOM, INC.|99CON04524|2003-08-04|SERENAD |2003-07-29|2003-07-28|6630146|C|          ||
WBE COMPANY INC.|99CON04556|2001-09-04|TERII   |2001-08-28|2001-08-27|6210108|C|          ||
WBE COMPANY INC.|99CON04556|2002-06-24|TERII   |2002-06-17|2002-06-15|6410234|C|          ||
WBE COMPANY INC.|99CON04556|2004-06-01|CHERYLD |2004-05-24|2004-05-21|6800240|C|          ||
HARRIS, FELDMAN LAW OFFICES|99CON04563|2002-03-18|TERII   |2002-03-12|2002-03-08|6330203|C|          ||
HEP, INC|99CON04581|2001-05-14|SERENAD |2001-05-11|2001-05-10|6180063|C|          ||
HEP, INC|99CON04581|2003-05-27|SERENAD |2003-05-20|2003-05-19|6620026|C|          ||
LAFAYETTE FINANCE CO, LLC|99CON04610|2002-11-08|PATTIEV |2002-09-10|2002-09-09|6430234|C|          ||
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|2001-06-25|PATTIEV |2001-06-18|2001-06-18|6200038|C|          ||
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|2001-06-25|PATTIEV |2001-06-19|2001-06-18|6200040|C|          ||
WILLOW CREEK FARMS DBA MICHAEL'S|99CON04629|2001-06-25|PATTIEV |2001-06-22|2001-06-21|6200041|C|          ||
WEST CORPORATION|99CON04633|2001-06-11|PATTIEV |2001-06-07|2001-06-06|6190159|C|          ||
WEST CORPORATION|99CON04633|2002-04-08|TERII   |2002-04-05|2002-04-04|6370040|C|          ||
WEST CORPORATION|99CON04633|2002-06-10|TERII   |2002-06-04|2002-06-03|6410101|C|          ||
WEST CORPORATION|99CON04633|2002-12-03|SERENAD |2002-09-03|2002-08-30|6430209|C|          ||
WEST CORPORATION|99CON04633|2003-05-05|SERENAD |2003-04-28|2003-04-25|6610144|C|          ||
WEST CORPORATION|99CON04633|2004-10-06|SERENAD |2004-09-28|2004-09-27|6850040|C|          ||
WEST CORPORATION|99CON04633|2005-01-03|SERENAD |2004-12-27|2004-12-26|6890059|C|          ||
HI-WAY BARRICADES, INC.|99CON04634|2001-06-11|PATTIEV |2001-06-08|2001-06-07|6190139|C|          ||
TICKET EXPRESS|99CON04636|2001-06-18|PATTIEV |2001-06-15|2001-06-15|6190247|C|          ||
MARATHON REALTY GROUP|99CON04692|2001-06-04|SERENAD |2001-06-01|2001-05-30|6190055|C|          ||
T.L.K. AIR CARE, INC.|99CON04695|2001-06-04|SERENAD |2001-05-30|2001-05-29|6190066|C|          ||
H & R CONSTRUCTION COMPANY, IN|99CON04743|2001-06-11|PATTIEV |2001-06-07|2001-06-06|6190135|C|          ||
MCKENNA'S, INC.|99CON04746|2002-05-28|TERII   |2002-05-23|2002-05-22|6410028|C|          ||
EDM CORPORATION|99CON04751|2001-07-23|TERII   |2001-07-16|2001-07-13|6200249|C|          ||
MILL LAND, INC.|99CON04767|2003-08-04|SERENAD |2003-07-30|2003-07-29|6630142|C|          ||
MILL LAND, INC.|99CON04767|2004-04-06|SERENAD |2004-03-30|2004-03-29|6770026|C|          ||
OMAHA TITLE & ESCROW, INC.|99CON04768|2004-06-28|CHERYLD |2004-06-25|2004-06-24|6820129|C|          ||
OMAHA TITLE & ESCROW, INC.|99CON04768|2004-08-02|SERENAD |2004-07-30|2004-07-26|6830111|C|          ||
WILLOW DRIVE, LLC|99CON04773|2001-09-10|TERII   |2001-09-07|2001-09-06|6210140|C|          ||
SCHMIDT TRANSPORTATION, INC.|99CON04784|2001-10-15|TERII   |2001-10-09|2001-10-05|6220006|C|          ||
TENET HEALTHCARE|99CON04790|2001-06-11|PATTIEV |2001-06-06|2001-06-06|6190157|C|          ||
TENET HEALTHCARE|99CON04790|2002-03-25|TERII   |2002-03-21|2002-03-19|6340212|C|          ||
TENET HEALTHCARE|99CON04790|2002-06-14|TERII   |2002-06-13|2002-06-12|6410146|C|          ||
TENET HEALTHCARE|99CON04790|2002-11-18|SERENAD |2002-11-12|2002-11-12|6470148|C|          ||
TENET HEALTHCARE|99CON04790|2003-03-17|SERENAD |2003-03-13|2003-03-13|6540165|C|          ||
TENET HEALTHCARE|99CON04790|2003-05-05|SERENAD |2003-05-02|2003-05-01|6610142|C|          ||
TENET HEALTHCARE|99CON04790|2003-07-14|PATTIEV |2003-07-09|2003-07-08|6630091|C|          ||
TENET HEALTHCARE|99CON04790|2003-07-14|PATTIEV |2003-07-10|2003-07-09|6630090|C|          ||
TENET HEALTHCARE|99CON04790|2004-03-18|SERENAD |2004-03-10|2004-03-10|6720007|C|          ||
TENET HEALTHCARE|99CON04790|2004-06-14|CHERYLD |2004-06-10|2004-06-09|6810113|C|          ||
TENET HEALTHCARE|99CON04790|2004-08-23|SERENAD |2004-08-19|2004-08-19|6830242|C|          ||
TENET HEALTHCARE|99CON04790|2005-01-03|SERENAD |2004-12-27|2004-12-27|6890056|C|          ||
NEBRASKA BEEF LTD|99CON04797|2004-08-10|SERENAD |2004-08-05|2004-08-04|6830156|C|          ||
FIELD PAPER CO.|99CON04803|2002-04-10|DAVIDH  |2001-11-30|2001-11-29|6220118|C|          ||
THOMPSON REALTY GROUP|99CON04809|2002-08-26|TERII   |2002-08-20|2002-08-19|6430138|C|          ||
THOMPSON REALTY GROUP|99CON04809|2003-02-18|SERENAD |2003-02-11|2003-02-10|6510095|C|          ||
CATERPILLAR EMPLOYEES PAC|99CON04824|2001-07-16|TERII   |2001-07-09|2001-07-06|6200203|C|          ||
DINSMORE, RICHARD J., PC|99CON04878|2003-04-14|SERENAD |2003-04-11|2003-04-11|6600200|C|          ||
HOME REAL ESTATE SERVICES OF LINCOLN, INC.|99CON04932|2002-05-31|TERII   |2002-05-29|2002-05-28|6410055|C|          ||
HOME REAL ESTATE (PINE LAKE)|99CON04935|2003-08-14|DAVIDH  |2002-07-29|2002-07-26|6430051|C|          ||
SIGN PRO|99CON04940|2003-04-14|SERENAD |2003-04-09|2003-04-08|6600224|C|          ||
SIGN PRO|99CON04940|2003-05-12|SERENAD |2003-05-09|2003-05-08|6610192|C|          ||
777, INC DBA CLANCY'S PUBS|99CON04953|2002-05-20|TERII   |2002-05-14|2002-05-13|6400230|C|          ||
INDUSTRIAL- IRRIGATION SERVICE|99CON04966|2001-10-15|TERII   |2001-10-09|2001-10-08|6210248|C|          ||
CITY NATIONAL BANK & TRUST|99CON04968|2001-12-03|TERII   |2001-11-26|2001-11-21|6220113|C|          ||
MILLER-MONROE|99CON05071|2002-03-11|TERII   |2002-03-07|2002-03-06|6320148|C|          ||
LIBERTY PROPERTY MANAGEMENT CO|99CON05086|2002-03-25|TERII   |2002-03-18|2002-03-15|6340203|C|          ||
SIMON PROPERTY GROUP|99CON05158|2002-03-18|TERII   |2002-03-14|2002-03-11|6330215|C|          ||
DELTA FUTURES GROUP|99CON05175|2002-02-19|TERII   |2002-02-14|2002-02-11|6280174|C|          ||
MADSEN'S BOWLING & BILLIARDS|99CON05214|2002-03-18|TERII   |2002-03-15|2002-03-14|6330206|C|          ||
V.V.S INC|99CON05216|2002-03-25|TERII   |2002-03-18|2002-03-15|6340213|C|          ||
V.V.S INC|99CON05216|2002-05-28|TERII   |2002-05-22|2002-05-20|6410032|C|          ||
V.V.S INC|99CON05216|2002-06-24|TERII   |2002-06-17|2002-06-14|6410232|C|          ||
V.V.S INC|99CON05216|2002-07-19|TERII   |2002-07-15|2002-07-11|6420239|C|          ||
V.V.S INC|99CON05216|2002-08-12|TERII   |2002-08-08|2002-08-06|6430093|C|          ||
V.V.S INC|99CON05216|2002-08-26|TERII   |2002-08-22|2002-08-20|6430139|C|          ||
V.V.S INC|99CON05216|2002-09-06|TERII   |2002-09-03|2002-08-29|6430207|C|          ||
V.V.S INC|99CON05216|2004-01-22|CHERYLD |2004-01-12|2004-01-09|6650213|C|          ||
V.V.S INC|99CON05216|2004-02-09|CHERYLD |2004-02-09|2004-02-06|0      |C|          ||
V.V.S INC|99CON05216|2004-04-21|CHERYLD |2004-04-15|2004-04-13|6780161|C|          ||
V.V.S INC|99CON05216|2004-06-01|CHERYLD |2004-05-24|2004-05-20|6800238|C|          ||
V.V.S INC|99CON05216|2004-08-02|SERENAD |2004-07-28|2004-07-26|6830115|C|          ||
V.V.S INC|99CON05216|2004-09-07|CORIEJ  |2004-08-30|2004-08-27|6840068|C|          ||
V.V.S INC|99CON05216|2004-09-20|CORIEJ  |2004-09-16|2004-09-14|6840181|C|          ||
V.V.S INC|99CON05216|2004-11-29|SERENAD |2004-11-22|2004-11-19|6880119|C|          ||
AGROMAC INTERNATIONAL, INC.|99CON05480|2002-02-25|TERII   |2002-02-22|2002-02-20|6290086|C|          ||
ELI LILLY &AMP; COMPANY PAC # C00082792|99CON05483|2002-09-06|TERII   |2002-09-03|2002-08-29|6430193|C|          ||
ELI LILLY &AMP; COMPANY PAC # C00082792|99CON05483|2002-10-21|SERENAD |2002-10-15|2002-10-15|6450087|C|          ||
PAYPAL, INC.|99CON05494|2002-03-04|TERII   |2002-02-28|2002-02-25|6300197|C|          ||
TUTTLE, INC.|99CON05503|2002-02-19|TERII   |2002-02-15|2002-02-14|6280188|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|2003-01-06|PATTIEV |2003-01-03|2003-01-02|6480084|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|2003-06-02|SERENAD |2003-05-27|2003-05-24|6620087|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|2004-03-11|PATTIEV |2004-02-26|2004-02-25|6690136|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|2004-07-26|SERENAD |2004-07-21|2004-07-20|6830063|C|          ||
ENGINEERING AUTOMATION & DESIG|99CON05516|2004-08-10|SERENAD |2004-08-02|2004-07-30|6830146|C|          ||
DELLAMAN INC|99CON05559|2002-02-27|TERII   |2002-02-27|2002-02-25|0      |C|          ||
BUSINESS MANAGEMENT SOLUTIONS|99CON05570|2002-04-08|TERII   |2002-04-02|2002-04-01|6370016|C|          ||
UNIVERSITY OF NEBRASKA FOUNDATION|99CON05571|2004-12-20|SERENAD |2004-12-14|2004-12-13|6880235|C|          ||
RISKY'S INC|99CON05593|2002-04-22|TERII   |2002-04-19|2002-04-18|6380214|C|          ||
B AND B - Q, INC.|99CON05595|2002-04-25|TERII   |2002-04-22|2002-04-22|6390028|C|          ||
HERITAGE BANK|99CON05603|2002-04-22|TERII   |2002-04-16|2002-04-12|6380211|C|          ||
CORNERSTONE BANK (AURORA)|99CON05604|2002-05-28|TERII   |2002-05-21|2002-05-20|6410025|C|          ||
DURANTE ASSOCIATES, INC|99CON05657|2002-04-22|TERII   |2002-04-16|2002-04-09|6380210|C|          ||
KREYCIK RIVER VIEW|99CON05662|2003-01-06|PATTIEV |2002-12-30|2002-12-28|6480088|C|          ||
FREEMAN COMPANY, INC|99CON05720|2002-06-14|TERII   |2002-06-12|2002-06-11|6410133|C|          ||
AVAYA INC|99CON05739|2002-06-14|TERII   |2002-06-12|2002-06-11|6410131|C|          ||
TYRO FARMS INC|99CON05742|2002-05-20|TERII   |2002-05-17|2002-05-16|6400249|C|          ||
SCOTTSBLUFF POLICE OFFICERS ASSN|99CON05808|2002-05-20|TERII   |2002-05-13|2002-05-09|6400246|C|          ||
CHEEMA CAPITAL LLC DBA TEXACO / LIQUOR MART|99CON05809|2002-05-20|TERII   |2002-05-13|2002-05-10|6400234|C|          ||
SCOTTSBLUFF COUNTY FOP LODGE|99CON05811|2002-05-13|TERII   |2002-05-10|2002-05-08|6400170|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|2002-05-06|SERENAD |2002-04-30|2002-04-27|6390182|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|2002-06-28|TERII   |2002-06-28|2002-06-27|6420130|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|2002-08-26|TERII   |2002-08-21|2002-08-20|6430133|C|          ||
KEEP IT IN NEBRASKA INC|99CON05821|2003-05-12|SERENAD |2003-05-05|2003-05-02|6610184|C|          ||
NE ELK BREEDERS ASSOC.|99CON05834|2002-05-20|TERII   |2002-05-13|2002-05-10|0      |C|          ||
B & R LEASING INC|99CON05860|2002-07-19|TERII   |2002-07-16|2002-07-15|6420226|C|          ||
PEARSON PROPERTIES|99CON05861|2002-08-26|TERII   |2002-08-19|2002-08-17|6430137|C|          ||
J & D INC|99CON05862|2002-10-15|TERII   |2002-10-07|2002-10-07|6450028|C|          ||
DIXIE QUICKS|99CON05926|2002-05-28|TERII   |2002-05-20|2002-05-17|6410027|C|          ||
SAMSON LAW OFFICE PC, LLO|99CON06006|2002-11-12|SERENAD |2002-11-04|2002-11-01|6470098|C|          ||
TYSON FOODS, INC.|99CON06054|2002-06-28|TERII   |2002-06-27|2002-06-24|6420137|C|          ||
RAASCH APPRAISAL & CONSULTING|99CON06059|2002-10-08|TERII   |2002-10-03|2002-10-02|6440114|C|          ||
RICHDALE MANAGEMENT, INC|99CON06100|2003-01-13|SERENAD |2003-01-09|2003-01-08|6480236|C|          ||
GROSS SEED COMPANY INC|99CON06131|2004-12-06|SERENAD |2004-12-01|2004-11-30|6880136|C|          ||
NORFOLK AREA CHAMBER OF COMMERCE|99CON06139|2002-10-15|TERII   |2002-10-09|2002-10-08|6450041|C|          ||
GRATTON WAREHOUSE|99CON06198|2003-01-13|SERENAD |2003-01-06|2003-01-03|6480220|C|          ||
