Form A1 ID Number|Date Received|Candidate ID|Candidate Last Name|Candidate First Name|Candidate Middle Initial|Support/Oppose|Office Sought|Office Title|Office Description
99CAC00014|1999-02-17|99FIS00017|WRENHOLT|JIM| |0|MAYOR-LINCOLN                                     |MAYOR|LINCOLN
99CAC00388|1999-03-29|99FIS00019|KATT|PETER| |0|SCHOOL BOARD - DIST 01-LINCOLN                    |SCHOOL BOARD - DIST 01|LINCOLN
99CAC00023|1998-03-13|99FIS00025|ARNOLD|BONNIE| |0|COUNTY CLERK OF DISTRICT COURT-HALL               |COUNTY CLERK OF DISTRICT COURT|HALL
99CAC00024|1994-10-27|99FIS00026|BAASCH|KATHY|G|0|COUNTY REGISTER OF DEEDS-HALL                     |COUNTY REGISTER OF DEEDS|HALL
05CAC00724|2005-05-10|99FIS00031|BEUTLER|CHRIS| |0|MAYOR|MAYOR|LINCOLN
99CAC00030|1980-04-16|99FIS00032|BLANK|DON| |0|07|07|BOARD OF REGENTS
99CAC00031|1998-05-11|99FIS00033|BLANKENSHIP|JASON| |0|COUNTY CLERK OF DISTRICT COURT-DOUGLAS            |COUNTY CLERK OF DISTRICT COURT|DOUGLAS
99CAC00032|1994-03-08|99FIS00034|BORGESON|MARY ANN| |0|COUNTY COMMISSIONER DIST. #06-DOUGLAS             |COUNTY COMMISSIONER DIST. #06|DOUGLAS
12CAC01684|2012-05-11|99FIS00035|BOURNE|PATRICK|J|0|MEMBER|MEMBER|POWER REVIEW BOARD
99CAC00033|1998-03-27|99FIS00035|BOURNE|PATRICK|J|0|08-LEGISLATURE                                    |08|LEGISLATURE
99CAC00034|1998-04-13|99FIS00036|BRANDT|DONNIE| |0|MAYOR-PAPILLION                                   |MAYOR|PAPILLION
99CAC00035|1993-12-20|99FIS00037|BRASHEAR|KERMIT| |0|04-LEGISLATURE                                    |04|LEGISLATURE
99CAC00037|1993-12-10|99FIS00039|BRUEGGEMANN|WILLIAM|C|0|COUNTY SHERIFF-CASS                               |COUNTY SHERIFF|CASS
99CAC00658|2004-02-23|99FIS00040|BRUMBAUGH|KIRK|E|0|45-LEGISLATURE                                    |45|LEGISLATURE
99CAC00658|2004-02-23|99FIS00040|BRUMBAUGH|KIRK|E|0|45-LEGISLATURE                                    |45|LEGISLATURE
13CAC01817|2013-07-31|99FIS00041|BUTLER|MATT| |0|04|04|LEGISLATURE
99CAC00040|1997-12-22|99FIS00042|BYARS|DENNIS| |0|30-LEGISLATURE                                    |30|LEGISLATURE
07CAC01062|2007-12-20|99FIS00043|CAMPBELL|KATHY| |0|25|25|LEGISLATURE
99CAC00610|2002-06-27|99FIS00045|HAHN|KANDRA| |0|COUNTY COMMISSIONER DIST. #01-LANCASTER           |COUNTY COMMISSIONER DIST. #01|LANCASTER
99CAC00043|1998-02-26|99FIS00045|HAHN|KANDRA| |0|AUDITOR OF PUBLIC ACCOUNTS-AUDITOR OF PUBLIC ACCOU|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
99CAC00043|1998-02-26|99FIS00045|HAHN|KANDRA| |0|AUDITOR OF PUBLIC ACCOUNTS-AUDITOR OF PUBLIC ACCOU|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
99CAC00044|1998-04-23|99FIS00046|HALL|DALE| |0|COUNTY COMMISSIONER - DIST 03-CASS                |COUNTY COMMISSIONER DIST. #03|CASS
99CAC00045|1993-10-04|99FIS00047|HANEY|JULIE|M|0|COUNTY TREASURER-DOUGLAS                          |COUNTY TREASURER|DOUGLAS
99CAC00047|1998-03-11|99FIS00049|HAZELRIGG|SCOTT| |0|DIST. 66 SCHOOL BOARD AT LARGE|DIST. 66 SCHOOL BOARD AT LARGE|OMAHA
99CAC00051|1986-04-03|99FIS00053|GREEN|JOHN|K|0|OMAHA PUBLIC POWER DIST - METR-OMAHA PUBLIC POWER |METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
14CAC01893|2014-04-03|99FIS00053|GREEN|JOHN|K|0|02|02|PUBLIC SERVICE COMMISSION
99CAC00053|1998-05-29|99FIS00055|GROSS|NANCY|J|0|COUNTY REGISTER OF DEEDS-MADISON                  |COUNTY REGISTER OF DEEDS|MADISON
99CAC00426|2000-02-07|99FIS00056|LOGAN|LONNIE| |0|LEGISLATURE - DISTRICT 35-LEGISLATIVE COUNCIL     |35|LEGISLATURE
99CAC00426|2000-03-29|99FIS00056|LOGAN|LONNIE| |0|LEGISLATURE - DISTRICT 35-LEGISLATIVE COUNCIL     |35|LEGISLATURE
99CAC00054|1998-07-02|99FIS00056|LOGAN|LONNIE| |0|COUNTY SUPERVISOR DISTRICT #01-HALL               |COUNTY SUPERVISOR DISTRICT #01|HALL
99CAC00056|1990-03-15|99FIS00058|LYNAM|THOMAS| |0|COUNTY ENGINEER/SURVEYOR-SARPY                    |COUNTY ENGINEER/SURVEYOR|SARPY
99CAC00060|1998-05-19|99FIS00062|MCCALLISTER|KATHLEEN| |0|COUNTY COMMISSIONER DIST. #02-DOUGLAS             |COUNTY COMMISSIONER DIST. #02|DOUGLAS
99CAC00063|1998-03-02|99FIS00065|MCMULLEN|ANDREW| |0|COUNTY ATTORNEY-BUFFALO                           |COUNTY ATTORNEY|BUFFALO
99CAC00064|1998-04-27|99FIS00066|MEDCALF|BRUCE|A|0|COUNTY CLERK-LANCASTER                            |COUNTY CLERK|LANCASTER
99CAC00625|2002-10-17|99FIS00066|MEDCALF|BRUCE|A|0|COUNTY CLERK-LANCASTER                            |COUNTY CLERK|LANCASTER
12CAC01695|2012-07-18|99FIS00071|MILLS|GEORGE|R|0|METROPOLITIAN SUBDIVISION|METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00568|2001-10-31|99FIS00071|MILLS|GEORGE|R|0|COUNTY ASSESSOR-DOUGLAS                           |COUNTY ASSESSOR|DOUGLAS
99CAC00070|1989-08-25|99FIS00072|JANSEN|JAMES| |0|COUNTY ATTORNEY-DOUGLAS                           |COUNTY ATTORNEY|DOUGLAS
99CAC00072|1997-08-25|99FIS00074|MORRISSEY|ROGER| |0|COUNTY ASSESSOR-DOUGLAS                           |COUNTY ASSESSOR|DOUGLAS
99CAC00073|1994-07-25|99FIS00075|MUNCH|MICHAEL|L|0|COUNTY ATTORNEY-SARPY                             |COUNTY ATTORNEY|SARPY
99CAC00601|2002-05-03|99FIS00076|MURRAY|GLEN| |0|MAYOR-GRAND ISLAND                                |MAYOR|GRAND ISLAND
99CAC00075|1998-03-30|99FIS00077|NEILAN|PERRE| |0|COUNTY CLERK-LANCASTER                            |COUNTY CLERK|LANCASTER
99CAC00078|1990-04-11|99FIS00080|OWENS|JUDITH| |0|COUNTY ATTORNEY-DUNDY                             |COUNTY ATTORNEY|DUNDY
99CAC00082|1998-04-07|99FIS00084|POTTER|P. STEPHEN| |0|COUNTY PUBLIC DEFENDER-DAWSON                     |COUNTY PUBLIC DEFENDER|DAWSON
99CAC00084|1994-10-07|99FIS00086|PRAUNER|JAMES|L|0|COUNTY COMMISSIONER DIST. #03-MADISON             |COUNTY COMMISSIONER DIST. #03|MADISON
14CAC01934|2014-04-29|99FIS00086|PRAUNER|JAMES|L|0|COUNTY COMMISSIONER DIST. #03|COUNTY COMMISSIONER DIST. #03|MADISON
99CAC00087|1998-05-04|99FIS00089|RAMIREZ|ALFREDO| |0|NORFOLK SCHOOL BOARD - DIST 02-NORFOLK            |NORFOLK SCHOOL BOARD - DIST 02|NORFOLK
99CAC00090|1988-06-16|99FIS00092|ROBAK|JENNIE| |0|LEGISLATURE - DISTRICT 22-LEGISLATIVE COUNCIL     |22|LEGISLATURE
99PAC00129|2002-11-06|99FIS00092|ROBAK|JENNIE| |0|22-LEGISLATURE                                    |22|LEGISLATURE
99CAC00092|1998-01-21|99FIS00094|RUSTAD|ELLIOTT| |0|LIEUTENANT GOVERNOR-LIEUTENANT GOVERNOR           |LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR
99CAC00093|1998-02-03|99FIS00095|RUWE|PAUL| |0|LEGISLATURE - DISTRICT 16-LEGISLATIVE COUNCIL     |16|LEGISLATURE
99CAC00094|1994-04-21|99FIS00096|STUHR|ELAINE| |0|24-LEGISLATURE                                    |24|LEGISLATURE
99CAC00095|1998-06-23|99FIS00097|SUNDAY|STEPHEN| |0|COUNTY SHERIFF-BUTLER                             |COUNTY SHERIFF|BUTLER
99CAC00098|1998-06-09|99FIS00100|TAGART|DAVID| |0|STATE TREASURER-STATE TREASURER                   |STATE TREASURER|STATE TREASURER
99CAC00104|1998-05-01|99FIS00106|SCHERR|STEPHEN| |0|33-LEGISLATURE                                    |33|LEGISLATURE
99PAC00137|2004-11-02|99FIS00106|SCHERR|STEPHEN| |0|33-LEGISLATURE                                    |33|LEGISLATURE
99CAC00109|1997-07-23|99FIS00111|SMITH|ADRIAN| |0|48-LEGISLATURE                                    |48|LEGISLATURE
10CAC01482|2010-08-23|99FIS00113|SOPHIR|PENNY| |0|BOARD OF EDUCATION DIST. #01|BOARD OF EDUCATION DIST. #01|OMAHA
12CAC01691|2012-07-02|99FIS00118|STOTHERT|JEAN|L|0|MAYOR|MAYOR|OMAHA
08CAC01196|2008-10-01|99FIS00118|STOTHERT|JEAN|L|0|CITY COUNCIL DISTRICT #05|CITY COUNCIL DISTRICT #05|OMAHA
99CAC00117|1998-01-21|99FIS00119|THOMPSON|NANCY| |0|LEGISLATURE - DISTRICT 14-LEGISLATIVE COUNCIL     |14|LEGISLATURE
99CAC00121|1994-06-24|99FIS00123|TYREE|SHIRLEY| |0|SCHOOL BOARD DISTRICT #03-OMAHA                   |SCHOOL BOARD DISTRICT #03|OMAHA
99CAC00123|1986-03-25|99FIS00125|URWILLER|DANIEL| |0|COMMISSIONER, DISTRICT #05-PUBLIC SERVICE COMMISSI|05|PUBLIC SERVICE COMMISSION
99CAC00125|1994-05-06|99FIS00127|WAGNER|TERRY|T|0|COUNTY SHERIFF-LANCASTER                          |COUNTY SHERIFF|LANCASTER
99CAC00127|1986-07-10|99FIS00129|WEDDLE|DAN|M|0|COUNTY SHERIFF-DODGE                              |COUNTY SHERIFF|DODGE
99CAC00128|1986-02-11|99FIS00130|WEHRBEIN|ROGER| |0|LEGISLATURE - DISTRICT 02-LEGISLATIVE COUNCIL     |02|LEGISLATURE
99CAC00344|1992-05-06|99FIS00133|WITEK|KATHLEEN| |0|LEGISLATURE - DISTRICT 31-LEGISLATIVE COUNCIL     |31|LEGISLATURE
99CAC00131|1997-08-07|99FIS00133|WITEK|KATHLEEN| |0|AUDITOR OF PUBLIC ACCOUNTS-AUDITOR OF PUBLIC ACCOU|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
99CAC00131|1997-08-07|99FIS00133|WITEK|KATHLEEN| |0|AUDITOR OF PUBLIC ACCOUNTS-AUDITOR OF PUBLIC ACCOU|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
06CAC00955|2006-10-06|99FIS00133|WITEK|KATHLEEN| |0|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
06CAC00955|2006-10-06|99FIS00133|WITEK|KATHLEEN| |0|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS|AUDITOR OF PUBLIC ACCOUNTS
99CAC00132|1998-02-27|99FIS00134|WITTLER|MARY| |0|COUNTY CLERK OF DISTRICT COURT-LANCASTER          |COUNTY CLERK OF DISTRICT COURT|LANCASTER
99CAC00134|1998-05-20|99FIS00136|WORKMAN|ROBERT| |0|COUNTY COMMISSIONER DIST. #05-LANCASTER           |COUNTY COMMISSIONER DIST. #05|LANCASTER
99CAC00137|1994-04-01|99FIS00139|ZIMMERMAN|LINDA| |0|COUNTY CLERK OF DISTRICT COURT-HALL               |COUNTY CLERK OF DISTRICT COURT|HALL
99CAC00138|1982-03-31|99FIS00140|ABBOUD|CHRIS| |0|12-LEGISLATURE                                    |12|LEGISLATURE
99CAC00139|1988-10-04|99FIS00141|ALLEN|ROBERT|M|0|BOARD OF REGENTS - DISTRICT 05-UNIVERSITY OF NEBRA|05|BOARD OF REGENTS
99CAC00142|1984-04-13|99FIS00144|BAACK|DENNIS| |0|LEGISLATURE - DISTRICT 47-LEGISLATIVE COUNCIL     |47|LEGISLATURE
99CAC00146|1996-04-15|99FIS00147|BLANKENSHIP|BRUCE| |0|CITY COUNCIL-KEARNEY                              |CITY COUNCIL|KEARNEY
99CAC00147|1991-10-07|99FIS00148|BOHLKE|ARDYCE| |0|LEGISLATURE - DISTRICT 33-LEGISLATIVE COUNCIL     |33|LEGISLATURE
99CAC00148|1996-04-04|99FIS00149|BONN|BARTON| |0|COUNTY COMMISSIONER - DIST 01-SARPY               |COUNTY COMMISSIONER DIST. #01|SARPY
99CAC00149|1996-04-16|99FIS00150|BOYLE|ANNE| |0|02-PUBLIC SERVICE COMMISSION                      |02|PUBLIC SERVICE COMMISSION
99CAC00691|2004-06-04|99FIS00150|BOYLE|ANNE| |0|CITY COUNCIL DISTRICT #03|CITY COUNCIL DISTRICT #03|OMAHA
99CAC00150|1992-05-05|99FIS00151|BROMM|CURT| |0|LEGISLATURE - DISTRICT 23-LEGISLATIVE COUNCIL     |23|LEGISLATURE
99CAC00151|1997-03-26|99FIS00152|BROWN|FRANK|D|0|CITY COUNCIL DISTRICT #02-OMAHA                   |CITY COUNCIL DISTRICT #02|OMAHA
99CAC00152|1995-05-10|99FIS00153|BRUNING|JON|C|0|LEGISLATURE - DISTRICT 03-LEGISLATIVE COUNCIL     |03|LEGISLATURE
99CAC00562|2001-06-12|99FIS00153|BRUNING|JON|C|0|ATTORNEY GENERAL-DEPARTMENT OF JUSTICE            |ATTORNEY GENERAL|ATTORNEY GENERAL
14CAC01867|2014-02-10|99FIS00153|BRUNING|JON|C|0|GOVERNOR|GOVERNOR|GOVERNOR
99CAC00156|1996-04-15|99FIS00157|PATE|MICHAEL| |0|SCHOOL BOARD AT LARGE-MILLARD                     |SCHOOL BOARD AT LARGE|MILLARD
99CAC00157|1983-07-13|99FIS00158|JORGENSEN|DENNIS| |0|OMAHA PUBLIC POWER DIST - METR-OMAHA PUBLIC POWER |METROPOLITIAN SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00158|1993-10-22|99FIS00159|LINDSAY|JOHN| |0|LEGISLATURE - DISTRICT 09-LEGISLATIVE COUNCIL     |09|LEGISLATURE
99CAC00159|1998-04-21|99FIS00160|ANDERSON|JAMES|W|0|COMMISSIONER, DISTRICT #05-PUBLIC SERVICE COMMISSI|05|PUBLIC SERVICE COMMISSION
99CAC00375|1998-10-30|99FIS00160|ANDERSON|JAMES|W|0|COUNTY SUPERVISOR DISTRICT #07-BUFFALO            |COUNTY SUPERVISOR DISTRICT #07|BUFFALO
99CAC00161|1998-04-13|99FIS00162|DECAMP|JENNIFER| |0|LEGISLATURE - DISTRICT 30-LEGISLATIVE COUNCIL     |30|LEGISLATURE
99CAC00163|1998-04-08|99FIS00164|REED|JIM| |0|COUNTY SUPERVISOR DISTRICT #07-HALL               |COUNTY SUPERVISOR DISTRICT #07|HALL
99CAC00164|1996-03-13|99FIS00165|BROSNIHAN|MARK| |0|COUNTY REGISTER OF DEEDS-DOUGLAS                  |COUNTY REGISTER OF DEEDS|DOUGLAS
99CAC00165|1996-11-04|99FIS00166|LYNCH|JIM| |0|COUNTY CLERK-DOUGLAS                              |COUNTY CLERK|DOUGLAS
99CAC00166|1986-05-20|99FIS00167|OBERMEYER|HAROLD| |0|COUNTY SHERIFF-THURSTON                           |COUNTY SHERIFF|THURSTON
08CAC01204|2008-10-06|99FIS00170|PEDERSEN|DWITE| |0|LEARNING COMMUNITY #04|LEARNING COMMUNITY #04|OMAHA
99CAC00169|1992-05-08|99FIS00170|PEDERSEN|DWITE| |0|LEGISLATURE - DISTRICT 39-LEGISLATIVE COUNCIL     |39|LEGISLATURE
99CAC00170|1994-03-01|99FIS00171|PESCHONG|JAMES|W|0|COUNTY SHERIFF-LANCASTER                          |COUNTY SHERIFF|LANCASTER
99CAC00171|1996-10-31|99FIS00172|PETERSON|BEVERLY| |0|DISTRICT #03-STATE BOARD OF EDUCATION             |03|STATE BOARD OF EDUCATION
99CAC00174|1996-11-14|99FIS00175|PIERCE|RICHARD|L|0|COUNTY SUPERVISOR DISTRICT #04-BUFFALO            |COUNTY SUPERVISOR DISTRICT #04|BUFFALO
06CAC00844|2006-04-10|99FIS00175|PIERCE|RICHARD|L|0|36|36|LEGISLATURE
99CAC00177|1996-10-07|99FIS00178|POOLE|LINDA| |0|SCHOOL BOARD AT LARGE-MILLARD                     |SCHOOL BOARD AT LARGE|MILLARD
99CAC00180|1998-05-28|99FIS00180|HILT|SUSAN| |0|County Clerk,                                     |COUNTY CLERK|ADAMS
99CAC00181|1994-10-28|99FIS00181|HOEFT|TIMOTHY|E|0|COUNTY ATTORNEY-PHELPS                            |COUNTY ATTORNEY|PHELPS
99CAC00500|2000-07-11|99FIS00182|HOEGER|MARK|J|0|COUNTY COMMISSIONER - DIST 05-DOUGLAS             |COUNTY COMMISSIONER DIST. #05|DOUGLAS
99CAC00184|1997-10-27|99FIS00184|HOPPNER|WILLIAM| |0|GOVERNOR-GOVERNOR                                 |GOVERNOR|GOVERNOR
99CAC00187|1993-08-25|99FIS00187|HUTCHINGS|KYLE| |0|COUNTY COMMISSIONER DIST. #04-DOUGLAS             |COUNTY COMMISSIONER DIST. #04|DOUGLAS
99CAC00189|1998-04-13|99FIS00189|CARTER|JOHN|M|0|LEGISLATURE - DISTRICT 25-LEGISLATIVE COUNCIL     |25|LEGISLATURE
08CAC01071|2008-01-11|99FIS00189|CARTER|JOHN|M|0|11|11|LEGISLATURE
06CAC00824|2006-04-03|99FIS00191|CONNEALY|MATTHEW| |0|03|03|PUBLIC SERVICE COMMISSION
99CAC00191|1997-06-19|99FIS00191|CONNEALY|MATTHEW| |0|16-LEGISLATURE                                    |16|LEGISLATURE
99CAC00194|1986-06-11|99FIS00194|DEWITT|JERRY| |0|COUNTY SHERIFF-GAGE                               |COUNTY SHERIFF|GAGE
99CAC00195|1986-02-06|99FIS00195|DIERKS|MERTON| |0|LEGISLATURE - DISTRICT 40-LEGISLATIVE COUNCIL     |40|LEGISLATURE
06CAC00875|2006-05-01|99FIS00195|DIERKS|MERTON| |0|40|40|LEGISLATURE
99CAC00198|1994-04-11|99FIS00198|DOWDING|LLOYD|J|0|COUNTY REGISTER OF DEEDS-SARPY                    |COUNTY REGISTER OF DEEDS|SARPY
99CAC00200|1985-12-09|99FIS00200|DOYLE|THOMAS|D|0|COUNTY ENGINEER/SURVEYOR-DOUGLAS                  |COUNTY ENGINEER/SURVEYOR|DOUGLAS
99CAC00203|1980-07-14|99FIS00203|EDQUIST|KEITH| |0|COUNTY COMMISSIONER - DIST 07-DOUGLAS             |COUNTY COMMISSIONER DIST. #07|DOUGLAS
08CAC01318|2008-12-29|99FIS00206|JERRAM|CHRISTOPHER|D|0|CITY COUNCIL DISTRICT #03|CITY COUNCIL DISTRICT #03|OMAHA
99CAC00208|1998-06-23|99FIS00208|JOHN|KELLIE|S|0|COUNTY REGISTER OF DEEDS-BUFFALO                  |COUNTY REGISTER OF DEEDS|BUFFALO
99CAC00209|1992-02-18|99FIS00209|JOHNSON|ROD|A|0|04|04|PUBLIC SERVICE COMMISSION
99CAC00540|2001-01-19|99FIS00210|KARNES|LIZ| |0|02|02|BOARD OF REGENTS
99CAC00210|1992-06-08|99FIS00210|KARNES|LIZ| |0|DIST. 66 SCHOOL BOARD AT LARGE|DIST. 66 SCHOOL BOARD AT LARGE|OMAHA
99CAC00211|1978-01-25|99FIS00211|KEEFE|DENNIS|R|0|COUNTY PUBLIC DEFENDER-LANCASTER                  |COUNTY PUBLIC DEFENDER|LANCASTER
99CAC00213|1998-04-16|99FIS00213|FAIRCHILD|ROBERT| |0|COUNTY SHERIFF-STANTON                            |COUNTY SHERIFF|STANTON
99CAC00214|1986-05-13|99FIS00214|FROST|JACK| |0|AT LARGE|AT LARGE|METROPOLITAN UTILITIES DISTRICT
99CAC00215|1998-01-20|99FIS00215|FRY|KEVIN| |0|LIEUTENANT GOVERNOR-LIEUTENANT GOVERNOR           |LIEUTENANT GOVERNOR|LIEUTENANT GOVERNOR
99CAC00217|1994-05-05|99FIS00217|GIVENS|CAROL| |0|COUNTY REGISTER OF DEEDS-DODGE                    |COUNTY REGISTER OF DEEDS|DODGE
99CAC00703|2004-10-13|99FIS00218|GNADT|KEN| |0|SUBDIVISION #03-NEBRASKA PUBLIC POWER DISTRICT    |SUBDIVISION #03|NEBRASKA PUBLIC POWER DISTRICT
99CAC00390|1994-03-02|99FIS00218|GNADT|KEN| |0|MAYOR-GRAND ISLAND                                |MAYOR|GRAND ISLAND
99CAC00220|1998-03-06|99FIS00220|KERRIGAN|R.L.| |0|LEGISLATURE - DISTRICT 10-LEGISLATIVE COUNCIL     |10|LEGISLATURE
99CAC00221|1998-07-06|99FIS00221|KNAPP|PAT| |0|ATTORNEY GENERAL-DEPARTMENT OF JUSTICE            |ATTORNEY GENERAL|ATTORNEY GENERAL
06CAC00852|2006-04-11|99FIS00224|KRAFT|MARC|G|0|08|08|LEGISLATURE
08CAC01098|2008-04-21|99FIS00224|KRAFT|MARC|G|0|COUNTY COMMISSIONER DIST. #05|COUNTY COMMISSIONER DIST. #05|DOUGLAS
99CAC00224|1994-10-27|99FIS00224|KRAFT|MARC|G|0|CITY COUNCIL DISTRICT #01-OMAHA                   |CITY COUNCIL DISTRICT #01|OMAHA
99CAC00225|1994-06-23|99FIS00225|KRATKY|NANCY J.| |0|SCHOOL BOARD DISTRICT #05-OMAHA                   |SCHOOL BOARD DISTRICT #05|OMAHA
99CAC00630|2002-11-04|99FIS00225|KRATKY|NANCY J.| |0|SCHOOL BOARD DISTRICT #05-OMAHA                   |SCHOOL BOARD DISTRICT #05|OMAHA
13CAC01782|2013-04-05|99FIS00225|KRATKY|NANCY J.| |0|SCHOOL BOARD DISTRICT #05|SCHOOL BOARD DISTRICT #05|OMAHA
99CAC00227|1998-02-02|99FIS00227|KRETSINGER|CARLL| |0|COUNTY ATTORNEY-SARPY                             |COUNTY ATTORNEY|SARPY
99CAC00228|1989-09-26|99FIS00228|LACEY|GARY| |0|COUNTY ATTORNEY-LANCASTER                         |COUNTY ATTORNEY|LANCASTER
99CAC00230|1998-04-28|99FIS00230|LARSON|GALE| |0|CITY COUNCIL 2ND WARD-GRAND ISLAND                |CITY COUNCIL 2ND WARD|GRAND ISLAND
99CAC00231|1998-05-11|99FIS00231|LAWSON|JIM|K|0|COUNTY SHERIFF-SCOTTS BLUFF                       |COUNTY SHERIFF|SCOTTS BLUFF
99CAC00611|2002-07-01|99FIS00232|LIGHTNER|LYNN| |0|LOWER PLATTE SOUTH-NATURAL RESOURCE DISTRICT      |LOWER PLATTE SOUTH|NATURAL RESOURCE DISTRICT
12CAC01726|2012-10-23|99FIS00234|MINES|MICHAEL|A|0|NORTH SUBDIVISION|NORTH SUBDIVISION|OMAHA PUBLIC POWER DISTRICT
99CAC00565|2001-10-03|99FIS00234|MINES|MICHAEL|A|0|18-LEGISLATURE                                    |18|LEGISLATURE
99CAC00511|1986-02-19|99FIS00236|MOORE|SCOTT| |0|LEGISLATURE - DISTRICT 24-LEGISLATIVE COUNCIL     |24|LEGISLATURE
99CAC00236|1986-02-19|99FIS00236|MOORE|SCOTT| |0|SECRETARY OF STATE-SECRETARY OF STATE             |SECRETARY OF STATE|SECRETARY OF STATE
99CAC00238|1998-05-18|99FIS00238|MORENO|ALEX|B|0|COUNTY SHERIFF-SCOTTS BLUFF                       |COUNTY SHERIFF|SCOTTS BLUFF
99CAC00238|1998-05-18|99FIS00238|MORENO|ALEX|B|0|COUNTY SHERIFF-SCOTTS BLUFF                       |COUNTY SHERIFF|SCOTTS BLUFF
99CAC00468|2000-04-17|99FIS00240|BRESLOW|JOHN| |0|BOARD OF REGENTS - DISTRICT 04-UNIVERSITY OF NEBRA|04|BOARD OF REGENTS
99CAC00241|1998-03-16|99FIS00241|CARMAN|JAMES| |0|COUNTY SHERIFF-LINCOLN                            |COUNTY SHERIFF|LINCOLN
99CAC00246|1995-11-13|99FIS00246|CHRISTIANSEN|CRAIG| |0|LEGISLATURE - DISTRICT 07-LEGISLATIVE COUNCIL     |07|LEGISLATURE
99CAC00247|1997-03-13|99FIS00247|CONLEY|FRED| |0|CITY COUNCIL DISTRICT #02-OMAHA                   |CITY COUNCIL DISTRICT #02|OMAHA
08CAC01106|2008-04-15|99FIS00249|COUNCIL|BRENDA|J|0|11|11|LEGISLATURE
99CAC00250|1988-03-18|99FIS00250|CROSBY|LAVON| |0|LEGISLATURE - DISTRICT 29-LEGISLATIVE COUNCIL     |29|LEGISLATURE
11CAC01589|2011-08-22|99FIS00251|DAUB|HAL| |0|08|08|BOARD OF REGENTS
