Committee Name|Form ID|Committee ID|Postmark Date|Date Received|Microfilm Number|Recipient Name|Recipient Address|Recipient City|Recipient State|Recipient Zip|Recipient Phone|Expenditure Date|Amount|Candidate ID|Candidate Support/Oppose|Ballot Question ID|Ballot Support/Oppose|Date Last Revised|Last Revised By|Candidate/Ballot Name
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003192|08IRC00484|2008-10-27|2008-10-28|7840003|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard St. #$20|Alexandria|VA|22311||2008-10-24|6612.2|07FIS10940|S |||2008-11-04|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003204|08IRC00484|2008-10-29|2008-10-30|7840004|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|5862.53|07FIS10926|S |||2008-11-04|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003205|08IRC00484|2008-10-29|2008-10-30|7840005|Mack Crounse Group - Giese for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|5542.53|07FIS10926|S |||2008-11-04|nadc01|ROBERT J GIESE
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003206|08IRC00484|2008-10-29|2008-10-30|7840006|Mack Crounse Group - Ken Haar for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|6065.25|08FIS11036|S |||2008-11-04|nadc01|KENNETH W HAAR
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003207|08IRC00484|2008-10-29|2008-10-30|7840007|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|5794.3|99FIS09559|S |||2008-11-04|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003208|08IRC00484|2008-10-29|2008-10-30|7840008|Mack Crounse Group - Kopplin for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|6333.23|99FIS09559|S |||2008-11-04|nadc01|GAIL F KOPPLIN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003209|08IRC00484|2008-10-29|2008-10-30|7840009|Mack Crounse Group - Lorenzen 2008|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|6339.3|08FIS10973|S |||2008-11-04|nadc01|CARL A LORENZEN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003210|08IRC00484|2008-10-29|2008-10-30|7840010|Mack Crounse Group - Rex Moats for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|6383.63|07FIS10930|S |||2008-11-04|nadc01|REX  J MOATS
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003211|08IRC00484|2008-10-29|2008-10-30|7840011|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311|2001|2008-10-28|6412.2|07FIS10940|S |||2008-11-04|nadc01|KATHLEEN A SULLIVAN
CAMPAIGN FOR NEBRASKAS FUTURE (DISSOLVED)|08CFL003212|08IRC00484|2008-10-29|2008-10-30|7840012|Mack Crounse Group - Sullivan for Legislature|2001 N. Beauregard Street #420|Alexandra|VA|22311||2008-10-28|5915.32|07FIS10940|S |||2008-11-04|nadc01|KATHLEEN A SULLIVAN
CITIZENS FOR A BETTER LINCOLN|13CFL004882|12IRC00504|2013-03-27|2013-03-27|8870064|Lincoln Postmaster USPS|700 R Street|Lincoln|NE|68501|8002758777|2013-03-27|3941.42|99FIS08060|O |||2013-04-03|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004886|12IRC00504|2013-04-24|2013-04-24|8890213|United States Postal Service||Lincoln|NE|||2013-04-24|3907.69|99FIS08060|O |||2013-04-29|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004887|12IRC00504|2013-04-24|2013-04-24|8890214|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701||2013-04-23|3869.37|99FIS08060|O |||2013-04-29|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004900|12IRC00504|2013-04-30|2013-04-30|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|2013-04-30|951.22|13FIS12556|S |||2013-05-07|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004901|12IRC00504|2013-04-30|2013-04-30|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|2013-04-30|951.23|99FIS03854|S |||2013-05-07|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004902|12IRC00504|2013-04-30|2013-04-30|8900143|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|2013-04-30|951.23|13FIS12553|S |||2013-05-07|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004903|12IRC00504|2013-05-02|2013-05-02|8900144|US Postmaster||Lincoln|NE|||2013-05-01|675.07|13FIS12556|S |||2013-05-07|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004904|12IRC00504|2013-05-02|2013-05-02|8900144|US Postmaster||Lincoln|NE|||2013-05-01|675.07|99FIS03854|S |||2013-05-07|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004905|12IRC00504|2013-05-02|2013-05-02|8900144|US Postmaster||Lincoln|NE|||2013-05-01|675.07|13FIS12553|S |||2013-05-07|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004906|12IRC00504|2013-05-02|2013-05-02|8900145|Bright Strategies|1202 W Norfolk Ave |Norfolk|NE|68701|4025803380|2013-05-01|973.92|13FIS12556|S |||2013-05-07|nadc06|TRENT J FELLERS
CITIZENS FOR A BETTER LINCOLN|13CFL004907|12IRC00504|2013-05-02|2013-05-02|8900145|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|2013-05-01|973.93|99FIS03854|S |||2013-05-07|nadc06|MARK A WHITEHEAD
CITIZENS FOR A BETTER LINCOLN|13CFL004908|12IRC00504|2013-05-02|2013-05-02|8900145|Bright Strategies|1202 W Norfolk Ave|Norfolk|NE|68701|4025803380|2013-05-01|973.93|13FIS12553|S |||2013-05-07|nadc06|ROY A CHRISTENSEN
CITIZENS FOR A BETTER LINCOLN|13CFL004909|12IRC00504|2013-05-02|2013-05-02|8900146|US Postmaster||Lincoln|NE|||2013-05-01|4104.34|99FIS08060|O |||2013-05-07|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|13CFL004914|12IRC00504|2013-05-02|2013-05-02|8900147|Nebraska Printing Center (In-kind)|2145 North Cotner Blvd|Lincoln|NE|68505||2013-05-01|2005.49|99FIS08060|O |||2013-05-07|nadc06|EUGENE W CARROLL
CITIZENS FOR A BETTER LINCOLN|15CFL005778|12IRC00504|2015-04-27|2015-04-27|9420043|CYNDI LAMM FOR CITY COUNCIL|5319 WALKER AVE|LINCOLN|NE|68504|4024329770|2015-04-24|8000|15FIS13296|S |||2015-05-04|nadc06|CYNDI R LAMM
CITIZENS FOR A BETTER LINCOLN|15CFL005786|12IRC00504|2015-04-29|2015-04-29|9420044|BROADCAST HOUSE|4343 O ST|LINCOLN|NE|68510|4024754567|2015-04-28|4275|99FIS07876|O |||2015-05-04|nadc06|PATRICIA L NEWMAN
CITIZENS FOR A BETTER LINCOLN|15CFL005794|12IRC00504|2015-05-05|2015-05-05|9420158|BRIGHT STRATEGIES|PO BOX 6272|LINCOLN|NE|68506|4025803380|2015-05-04|1309.3|99FIS07876|O |||2015-05-11|nadc06|PATRICIA L NEWMAN
CITIZENS FOR A BETTER TOMORROW|08CFL003159|08IRC00492|2008-10-24|2008-10-24|7820225|Mack Crounse Group -McCoy for Legislature|2001 N Beauregard Street Suite 420 |Alexandria|VA|22311|7033414463|2008-10-22|4475.1|07FIS10919|O |||2008-10-30|nadc06|BEAU R MCCOY
CITIZENS FOR A BETTER TOMORROW|08CFL003181|08IRC00492|2008-10-27|2008-10-28|7840013|Mack Crounse Group - Paul Eurek|2001 N. Beauregard St #420|Alexandria|VA|22311||2008-10-24|14779.56|07FIS10951|O |||2008-11-04|nadc01|PAUL  EUREK
CITIZENS FOR A BETTER TOMORROW|08CFL003182|08IRC00492|2008-10-27|2008-10-28|7840014|Mack Crounse Group - Scott Lautenbaugh|2001 N. Beauregard St. #420|alexandria|VA|22311||2008-10-24|6413.55|07FIS10931|O |||2008-11-04|nadc01|SCOTT A LAUTENBAUGH
CITIZENS FOR A BETTER TOMORROW|08CFL003243|08IRC00492|2008-11-05|2008-11-05|7840148|Field Works LLC - Kopplin for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|2008-11-03|1666.67|99FIS09559|S |||2008-11-10|nadc06|GAIL F KOPPLIN
CITIZENS FOR A BETTER TOMORROW|08CFL003244|08IRC00492|2008-11-05|2008-11-05|7840149|Field Works LLC - Lorenzen 2008|2852 Connecticut Ave NW|Washtington|DC|20008|2026674400|2008-11-03|1666.67|08FIS10973|S |||2008-11-10|nadc06|CARL A LORENZEN
CITIZENS FOR A BETTER TOMORROW|08CFL003245|08IRC00492|2008-11-05|2008-11-05|7840150|Field Works LLC - Rex Moats for Legislature|2852 Connecticut Ave NW|Washington|DC|20008|2026674400|2008-11-03|1666.67|07FIS10930|S |||2008-11-10|nadc06|REX  J MOATS
CITIZENS FOR A BETTER TOMORROW|14CFL005315|08IRC00492|2014-05-08|2014-05-09|9150117|NextGen Persuasion - Butler for Legislature|PO Box 5911|Washington|DC|20016|2024950586|2014-05-06|5000|99FIS00041|O |||2014-05-13|nadc01|MATT   BUTLER
CITIZENS FOR A BETTER TOMORROW|14CFL005316|08IRC00492|2014-05-09|2014-05-09|9150118|NextGen Persuasion - Smoyer for Nebraska|PO Box 5911|Washington|DC|20016|2024950586|2014-05-06|5000|08FIS11259|O |||2014-05-13|nadc01|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW|14CFL005317|08IRC00492|2014-05-09|2014-05-09|9150119|NextGen Persuasion - McCollister for  Legislature|PO Box 5911|Washington|DC|20016|2024950586|2014-05-06|5000|99FIS00279|O |||2014-05-13|nadc01|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW|14CFL005393|08IRC00492|2014-10-30|2014-10-30|9250141|Clark Creative - McCollister for Legislature|514 s. 13th|Omaha|NE|68102||2014-10-27|10000|99FIS00279|O |||2014-11-04|nadc06|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW|14CFL005394|08IRC00492|2014-10-29|2014-10-30|9250142|Unionist Printing - Joni Craighead for Legislature|1309 NW Radial Hwy|Omaha|NE|68132|4025589500|2014-10-27|1194.96|13FIS12694|O |||2014-11-04|nadc06|JONI K CRAIGHEAD
CITIZENS FOR A BETTER TOMORROW|14CFL005395|08IRC00492|2014-10-29|2014-10-30|9250143|Unionist Printing - Smoyer for Nebraska|1309 nw radial hwy|omaha|NE|68132||2014-10-27|1194.96|08FIS11259|O |||2014-11-04|nadc06|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW|14CFL005396|08IRC00492|2014-10-29|2014-10-30|9250144|Unionist Printing - McCollister for Legislature|1309 nw radial hwy|omaha|NE|68132||2014-10-27|1194.96|99FIS00279|O |||2014-11-04|nadc06|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW|14CFL005398|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies - Ebke for Legislature|PO Box 540975|Omaha|AL|68154||2014-10-27|1500|13FIS12709|O |||2015-01-28|nadc05|LAURA  EBKE
CITIZENS FOR A BETTER TOMORROW|14CFL005399|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Friends of Lindstrom|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|13FIS12707|O |||2015-01-28|nadc05|BRETT R LINDSTROM
CITIZENS FOR A BETTER TOMORROW|14CFL005400|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Gwenn Aspen for Legislature|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|13FIS12713|O |||2015-01-28|nadc05|GWENNIVIERE W ASPEN
CITIZENS FOR A BETTER TOMORROW|14CFL005401|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Hosch for Legislature|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|13FIS12733|S |||2015-01-28|nadc05|GREGORY C HOSCH
CITIZENS FOR A BETTER TOMORROW|14CFL005402|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Joni Craighead for Legislature|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|13FIS12694|O |||2015-01-28|nadc05|JONI K CRAIGHEAD
CITIZENS FOR A BETTER TOMORROW|14CFL005403|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Kintner for Legislature|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|12FIS12238|O |||2015-01-28|nadc05|WILLIAM K KINTNER
CITIZENS FOR A BETTER TOMORROW|14CFL005405|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-McCollister for Legislature|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|99FIS00279|O |||2015-01-28|nadc05|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW|14CFL005406|08IRC00492|2014-10-30|2014-10-30|9250140|Red State Strategies-Smoyer for Nebraska|PO Box 540975|Omaha|NE|68154||2014-10-27|1500|08FIS11259|O |||2015-01-28|nadc05|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW|14CFL005408|08IRC00492|2014-10-31|2014-10-31|9250146|Clark Creative - Kintner for Legislature|514 S. 13th|Omaha|NE|68102||2014-10-28|3880|12FIS12238|O |||2014-11-04|nadc06|WILLIAM K KINTNER
CITIZENS FOR A BETTER TOMORROW|14CFL005409|08IRC00492|2014-10-31|2014-10-31|9250145|Clark Creative - Tiemann for Legislature|514 S. 13th St|Omaha|NE|68102||2014-10-28|3000|10FIS11893|O |||2014-11-04|nadc06|ROBERT L TIEMANN
CITIZENS FOR A BETTER TOMORROW|14CFL005410|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion- Gwenn Apen for Legislature|POB 5911|Washington|DC|20016||2014-10-28|4166.66|13FIS12713|O |||2014-11-04|nadc06|GWENNIVIERE W ASPEN
CITIZENS FOR A BETTER TOMORROW|14CFL005411|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion-Ebke for Legislature|POB 5911|Washington|DC|20016||2014-10-28|4166.66|13FIS12709|O |||2014-11-04|nadc06|LAURA  EBKE
CITIZENS FOR A BETTER TOMORROW|14CFL005412|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion-Smoyer for Nebraska|POB 5911|Washington|DC|20016||2014-10-28|4166.67|08FIS11259|O |||2014-11-04|nadc06|BRENT T SMOYER
CITIZENS FOR A BETTER TOMORROW|14CFL005413|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion-Friends for Lindstrom|POB 5911|Washington|DC|20016||2014-10-28|4166.67|13FIS12707|O |||2014-11-04|nadc06|BRETT R LINDSTROM
CITIZENS FOR A BETTER TOMORROW|14CFL005414|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion-McCollister for Legislature|POB 5911|Washington|DC|20016||2014-10-28|4166.67|99FIS00279|O |||2014-11-04|nadc06|JOHN S MCCOLLISTER
CITIZENS FOR A BETTER TOMORROW|14CFL005415|08IRC00492|2014-10-31|2014-10-31|9250147|NextGen Persuasion-Joni Craighead for Legislature|POB 5911|Washington|DC|20016||2014-10-28|4166.67|13FIS12694|O |||2014-11-04|nadc06|JONI K CRAIGHEAD
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004687|10IRC00500|2011-01-18|2011-01-18|8340128|Nebraska Strategy Group - Mayor Suttle Recall Committee|1001 O Street, Suite 306|Lincoln|NE|68506|4027701954|2011-01-13|9399.78|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004688|10IRC00500|2011-01-18|2011-01-18|8340129|Polish Enterprises - Mayor Suttle Recall Committee|PO Box 540723|Omaha|NE|68154|4026600395|2011-01-13|14469.56|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004689|10IRC00500|2011-01-18|2011-01-18|8340130|Quality Press - Mayor Suttle Recall Committee|3500 North 20th Street|Lincoln|NE|68521||2011-01-14|1420.05|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004692|10IRC00500|2011-01-19|2011-01-19|8340131|NEBRASKA STRATEGY GROUP - Mayor Suttle Recall Committee|1001 O STREET, SUITE 306|LINCOLN|NE|68154|4027701954|2011-01-18|2000|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004693|10IRC00500|2011-01-19|2011-01-19|8340132|NEBRASKA STRATEGY GROUP - Mayor Suttle Recall Committee|1001 O STREET, SUITE GROUP|LINCOLN|NE|68506|4027701954|2011-01-19|2448.29|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004694|10IRC00500|2011-01-19|2011-01-19|8340133|POST MASTER - Mayor Suttle Recall Committee|1124 PACIFIC STREET |OMAHA|NE|68108||2011-01-18|5077.78|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004695|10IRC00500|2011-01-19|2011-01-19|8340135|QUALITY PRESS - Mayor Suttle Recall Committee|3500 NORTH 20TH STREET|LINCOLN|NE|68521||2011-01-18|1420.05|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004696|10IRC00500|2011-01-19|2011-01-19|8340134|QUALITY PRESS - Mayor Suttle Recall Committee|3500 NO 20TH STREET|LINCOLN|NE|68521||2011-01-18|2840.1|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004700|10IRC00500|2011-01-21|2011-01-21|8340138|Strategy Group Media - Mayor Suttle Recall Committee|7669 Stagers Loop|Delaware|OH|43015||2011-10-19|2500|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004701|10IRC00500|2011-01-21|2011-01-21|8340137|Post Master - Mayor Suttle Recall Committee|1124 Pacific Street|Omaha|NE|68108||2011-01-20|5077.78|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004702|10IRC00500|2011-01-21|2011-01-21|8340136|Post Master - Mayor Suttle Recall Committee|1124 Pacific Street|Omaha|NE|68108||2011-01-20|1348.97|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004703|10IRC00500|2011-01-26|2011-01-26|8350047|QUALITY PRESS - MAYOR SUTTLE RECALL COMMITTEE|3500 NORTH 20TH STREET|LINCOLN|NE|68521||2011-01-24|2840.1|||10BQC00272|S |2011-04-11|nadc05|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004704|10IRC00500|2011-01-26|2011-01-26|8350048|Campaign HQ - Mayor Suttle Recall Committee|PO Box 257|Brooklyn|IA|52211||2011-01-25|2034.18|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
CITIZENS FOR OMAHA'S FUTURE (DISSOLVED)|11CFL004705|10IRC00500|2011-01-26|2011-01-26|8350049|Campaign HQ - Mayor Suttle Recall Committee|PO Box 257|Brooklyn|IA|52211||2011-01-24|22287.7|||10BQC00272|S |2011-02-03|nadc06|Recall of Omaha Mayor Jim Suttle
DEMOCRATS FOR STEVE GLENN (DISSOLVED)|14CFL005437|14IRC00517|2014-11-13|2014-11-13|9260115|SAVE OUR UNIVERSITY|5555 S 27TH ST STE A|LINCOLN|NE|68512|4204753865|2014-10-28|2205.08|99FIS00264|S |||2014-11-18|nadc06|STEVE V GLENN
DEMOCRATS FOR STEVE GLENN (DISSOLVED)|14CFL005438|14IRC00517|2014-11-13|2014-11-13|9260114|BOUCHER LAW FIRM|5555 S 27TH ST |LINCOLN|NE|68512|4024753865|2014-10-28|3694.92|99FIS00264|S |||2014-11-18|nadc06|STEVE V GLENN
FIREFIGHTERS FOR BETTER GOVERNMENT|13CFL004884|99PAC00023|2013-03-29|2013-03-29|8870065|USPS|1124 Pacific Street|Omaha|NE|68108|8002756777|2013-03-26|3369.59|99FIS00118|O |||2013-04-03|nadc06|JEAN L STOTHERT
FIREFIGHTERS FOR BETTER GOVERNMENT|13CFL004927|99PAC00023|2013-05-09|2013-05-10|8910098|Clark Creative Group|514 S 13th |Omaha|NE|68102|4023455800|2013-05-07|20014|99FIS09878|S |||2013-05-13|nadc06|JAMES H SUTTLE
FIREFIGHTERS FOR BETTER GOVERNMENT|13CFL004928|99PAC00023|2013-05-09|2013-05-10|8910099|Unionist Printing |1309 NW Radial HWY|Omaha|NE|68132|4025589500|2013-05-07|10000|99FIS00118|O |||2013-05-13|nadc06|JEAN L STOTHERT
FRIENDS OF THE OMAHA PUBLIC SCHOOLS (DISSOLVED)|13CFL004929|13IRC00514|2013-05-14|2013-05-14|8910202|CP Strategies|5206 South 53rd Street|Lincoln|NE|68516|4024707294|2013-05-13|1656.09|13FIS12583|S |||2013-05-20|nadc06|WOODY   BRADFORD
FRIENDS OF THE OMAHA PUBLIC SCHOOLS (DISSOLVED)|13CFL004930|13IRC00514|2013-05-14|2013-05-14|8910202|CP Strategies|5206 South 53rd Street|Lincoln|NE|68516|4024707294|2013-05-13|1656.09|13FIS12592|S |||2013-05-20|nadc06|MATT  SCANLAN
FRIENDS OF THE OMAHA PUBLIC SCHOOLS (DISSOLVED)|13CFL004931|13IRC00514|2013-05-14|2013-05-14|8910202|CP Strategies|5206 South 53rd Street|Lincoln|NE|68516|4024707294|2013-05-13|1656.09|08FIS11320|S |||2013-05-20|nadc06|JUSTIN T WAYNE
LEADERSHIP COMMITTEE, THE (DISSOLVED)|10CFL004625|10IRC00499|2010-10-29|2010-11-01|0|NextGen Persuasion, LLC - Lautenbaugh for Legislature|2452 18th Street, NW 2nd Floor|Washington|DC|20009|3014046070|2010-10-27|29000|07FIS10931|O |||2010-11-02|nadc06|SCOTT A LAUTENBAUGH
LEADERSHIP COMMITTEE, THE (DISSOLVED)|10CFL004626|10IRC00499|2010-11-02|2010-11-03|0|Zata-3 Consulting, LLC - Lautenbaugh for Legislature|458 New Jersey Ave, SE|Washington|DC|20003||2010-10-29|3350|07FIS10931|O |||2010-11-03|nadc01|SCOTT A LAUTENBAUGH
LINCOLN EDUCATION ASSOCIATION (LEA PAC)|08CFL003170|99PAC00031|2008-10-27|2008-10-27|7840017|All Needs Computer & Mailing Services - Ken Haar for Legislature|8100 South 13th Street|Lincoln|NE|68512||2008-10-23|1846.07|08FIS11036|S |||2008-11-04|nadc01|KENNETH W HAAR
LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC)|07CFL002282|99PAC00007|2007-05-15|2007-05-15||Cardinal Communications|925 University Avenue, Suite A|Sacramento|CA|95825|8004059796|2007-04-29|1116.46|99FIS00011|S |||2007-05-16|nadc06|KEN   SVOBODA
