Committee ID Number|Committee Name|Committee Address|Committee City|Committee State|Committee Zip|Committee Type|Date Received|Postmark Date|Nature Of Filing|Ballot Question|Oppose Ballot Question|Ballot Type|Date over Theshold|Acronym|Separate Seg Political Fund ID|Separate Segregated Political Fund Name|SSPF Address|SSPF City|SSPF State|SSPF Zip|SSPF Type|Date Dissolved|Date of Next Election|Election Type|Won General|Won Primary
99BQC00036|AGRICULTURE, MAIN STREET, AND EDUCATION AGAINST CO|605 SOUTH 14TH STREET SUITE 100|LINCOLN|NE|68508|B|1998-09-04|1998-09-04|I|CONSTITUTIONAL AMENDMENT 413                      |1|I|1998-09-04||99IRC00027||||||R|1999-08-31|1998-11-04|G|0|0
08PAC00156|AIA-AMERICAN INSTITUTE OF ARCHITECTS PAC|335 N 8TH STREET|LINCOLN|NE|68508|P|2008-08-28|2008-08-27|I||||2008-09-22||||||||||2012-11-05|G||
13CAC01792|AJA ANDERSON FOR SCHOOL BOARD (NOT REGISTERED)|111 HAND|ZIP NOT VALID|NE|00001|C|1900-01-01|1900-01-01|I||||1900-01-01|||||||||||||
12CAC01650|AL DAVIS FOR LEGISLATURE|66455 PONDEROSA RD|HYANNIS|NE|69350|C|2012-04-05||I||||2012-03-20||||||||||2012-11-06|G||1
09CAC01323|ALAN MOORE ESU 3|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|9999-12-31|9999-12-31|I||||2008-12-31||||||||||2008-11-04|G||
99CAC00440|ALDONA DOYLE FOR SARPY COUNTY BOARD (DISSOLVED)|7805 ARROW ROCK DRIVE|BELLEVUE|NE|68157|C|2000-03-28|2000-03-27|I||0|I|2000-03-20|||||||||2010-01-25|2004-11-02|G|1|1
99CAC00238|ALEX MORENO FOR SHERIFF (DISSOLVED)|1590 BEVERLY BLVD|GERING|NE|69341|C|1998-05-18|1998-05-18|I||0|I|1998-05-18|       |          |||||||2005-02-02|2002-05-14|P|0|0
99CAC00087|ALFREDO RAMIREZ ELECTION COMMITTEE (DISSOLVED)|904 RIVERSIDE BLVD  BOX 403|NORFOLK|NE|68701|C|1998-05-04|1998-05-04|I||0|I|1998-05-04|       |          |||||||2003-01-31|1999-05-09|P|0|0
10BQC00278|ALL THINGS NEBRASKA|1141 H STREET, SUITE B|LINCOLN|NE|68508|I|2010-09-29|2010-09-29|I||||2010-09-29||||||||||2010-11-02|G||
10CAC01506|ALLEN FOR EDUCATION (DISSOLVED)|450 EAST ROAD 60|OGALLALA|NE|69153|C|2010-10-27|2010-10-25|I||||2010-10-25|||||||||2011-01-12|2010-11-02|G||
99CAC00139|ALLEN FOR REGENT COMMITTEE (DISSOLVED)|1115 WEST 2ND STREET|HASTINGS|NE|68901|C|1988-10-04|1988-10-04|I||0|I|1988-10-04|       |          |||||||2000-05-30|1994-05-04|P|0|0
13CAC01760|ALLEN HAGER FOR LEARNING COMMUNITY (NOT REGISTERED|16408 RIGGS STREET|OMAHA|NE|68135|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2013-05-03|||
99PAC00013|ALLTEL PAC|1440 M STREET, PO BOX 81309|LINCOLN|NE|68501|S|1982-07-12|1982-07-12|I||0|I|1982-07-12|       |          |||||||2000-01-17|2000-01-01|P|0|0
09CAC01333|ALPHA MARIE GOOMBI FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68512|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|P||
14BQC00388|ALTERNATIVE BUILDING CONCEPTS (DISSOLVED)|2525 N ST |LINCOLN|NE|68510|B|2014-09-15|2014-09-15||Bennet- Palmyra orz schol board|1|O|2014-09-09|||||||||2014-12-31|2014-11-04|G||
08BQC00183|ALTERNATIVE BUILDING CONSTRUCTION SITE(DISSOLVED)|58831 HWY 9|PONCA|NE|68770|B|2005-07-29|2005-07-28|I|CITY OF PONCA School Bond Issue|1|O|2005-07-15|||||||||2010-01-14|2006-02-14|P||
12BQC00328|AMENDMENT 4 TO INCREASE LEGISLATIVE SALARIES (NR)|1445 K STREET|LINCOLN|NE|68509|B|2012-12-07||I||||1900-01-01||||||||||2012-11-06|G||
08BQC00205|AMERICAN CIVIL RIGHTS COALITION (NOT REGISTERED)|NOT A  REGISTERED COMMITTEE|Sacramento|CA|95816|B|1900-01-01|1900-01-01|I||||2008-09-10||||||||||2008-11-04|G||
06PAC00149|AMERICAN COUNCIL OF ENGINEERING COMPANIES/NEB. PAC|301 S. 13TH #101|LINCOLN|NE|68508|S|2006-09-11|2006-09-11|I||||9999-12-31||||||||||2012-11-05|G||
14PAC00182|AMERICAN MEDICAL ASSOCIATION (PAC) NOT REGISTERED|NOT REGISTERED|CHICAGO|IL|60611|P|9999-11-03|9999-12-31|I|||O|9999-12-31||||||||||2014-11-04|G||
99PAC00119|AMERITAS LIFE INSURANCE CORP PAC (DISSOLVED)|5900 O STREET|LINCOLN|NE|68510|S|1984-07-09|1984-07-06|I||0|I|1984-07-07|||||||||2014-09-10|2012-11-05|G||
06BQC00120|AMES ECONOMIC DEVELOPMENT COMMISSION (NR)|N/A|ZIP NOT VALID|NE|68000|B|2006-02-01|2006-01-30|I||||1978-01-01|||||||||||||
09CAC01331|AMY BRACHT FOR LEARNING COUNCIL #1 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68506|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|P||
12CAC01741|AMY FRIEDMAN FOR LEARNING COUNCIL (NOT REGISTERED)|UNKNOWN|OMAHA |NE|68114|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2012-11-06|||
06CAC00893|AMY LINDSAY FOR MUD BOARD (DISSOLVED)|1002 NORTH 63RD STREET|OMAHA|NE|68132|C|2006-05-03|2006-05-01|I||||2006-04-28|||||||||2014-12-08|2008-11-04|P||
12CAC01743|ANDREAS ALLEN OPS (NOT REGISTERED)|UNKNOWN|OMAHA |NE|68114|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2012-11-06|||
07CAC01015|ANDREW HOVEY FOR COUNTY COMMISSIONER (NR)|NOT A REGISTERED COMMITTEE|South Sioux City|NE|68776-0323|C|9999-12-31||||||9999-12-31|||||||||||||
09CAC01350|ANDREW NORTHWALL FOR RALSTON BOARD OF ED #54 (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68528|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|P||
08CAC01298|ANDREW THILL FOR MILLARD SCHOOL BOARD (NR)|NOT A REGISTERED COMMITTEE|MILLARD|NE|68425|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-01-01|P||
12CAC01731|ANDY ALLEN FOR OPS #8 (NOT REGISTERED)|1902 S. 29TH CIRCLE|OMAHA|NE|68105|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2012-11-06|||
06CAC01000|ANDY MAHONEY FOR BELLEVUE CITY COUNCIL (NR)||||00000|C|1900-01-01|1900-01-01|||||1900-01-01||||||||||2006-11-07|G||
09CAC01390|ANDY STEBBING FOR COUNTY TREASURER|6211 A STREET|LINCOLN|NE|68510|C|2009-11-16|2009-11-16|I||||2009-11-07||||||||||2010-05-11|P||
14CAC02032|ANDY STEBBING FOR MAYOR|530 S 135TH ST STE 100 |LINCOLN|NE|68508|C|2014-12-04|2014-12-04|I||||1900-01-01||||||||||2015-04-07|P||1
11CAC01576|ANGELA HOGAN BOARD OF EDUCATION (NR)|NOT A REGISTERED COMMITTEE|COLUMBUS|NE|68601|C|2011-03-29||||||9999-12-31|||||||||||||
99CAC00471|ANGELIKA T.L. BYORTH FOR STATE SENATOR (DISSOLVED)|3027 PLYMOUTH AVE|LINCOLN|NE|68502|C|2000-04-24|2000-04-24|I||0|I|2000-04-21|||||||||2005-11-17|2004-11-02|G||1
06CAC00777|ANGUS GAREY FOR LEGISLATION (DISSOLVED)|PO BOX 605|MCCOOK|NE|69001|C|2006-01-13|2006-01-11|I||||2006-01-06|||||||||2006-06-19|2006-05-09|P||
12CAC01714|ANN BLEED FOR NRD (DISSOLVED)|1315 N 37 STREET|LINCOLN|NE|68503|C|2012-10-10||I||||2012-10-09|||||||||2012-12-10|2012-11-06|G||
12CAC01615|ANN FERLIC ASHFORD FOR REGENT (DISSOLVED)|7926 SHIRLEY CIRCLE|OMAHA|NE|68124|C|2012-01-27|2012-01-27|I||||2012-01-20|||||||||2014-01-31|2012-05-15|P||
99CAC00477|ANN MACTIER CAMPAIGN (DISSOLVED)|3811 NORTH POST ROAD|OMAHA|NE|68112|C|2000-04-26|2000-04-25|I||0|I|1900-04-27|||||||||2008-02-26|2004-11-02|G|1|1
14CAC01864|ANNA WISHART FOR AIRPORT AUTHORITY (DISSOLVED)|4030 S. 20TH STREET|LINCOLN|NE|68502|C|2011-04-05|2011-04-05|I||||2011-04-01|||||||||2014-01-31|2011-05-04|||
15CAC02071|ANNA WISHART FOR LEGISLATURE |2509 S. 8TH STREET|LINCOLN|NE|68502|C|2015-03-13|2015-03-13|I||||2015-03-04||||||||||2016-05-10|P||
99CAC00691|ANNE BOYLE FOR CITY COUNCIL (DISSOLVED)|500 SOUTH 37TH ST. #506|OMAHA|NE|68105|C|2004-06-04|2004-06-03|I||0|I|2004-05-25|||||||||2006-01-03|2005-05-10|G||
99CAC00149|ANNE BOYLE FOR PUBLIC SERVICE COMMISSION (DISSOLVE|500 SOUTH 37TH ST, STE 506|OMAHA|NE|68105|C|1996-04-16|1996-04-16|I||0|I|1996-04-16|||||||||2014-01-03|2002-11-05|G|1|1
99CAC00620|ANNE MCGUIRE FOR OPPD|200 SOUTH 31ST AVE #4600|OMAHA|NE|68131|C|2002-09-17|2002-09-16|I||0|I|2002-09-16||||||||||2008-11-04|G|1|
99CAC00385|ANNETTE MCROY FOR CITY COUNCIL (DISSOLVED)|1142 NEW HAMPSHIRE|LINCOLN|NE|68508|C|1999-03-15|1999-03-15|I||0|I|1999-03-15|||||||||2010-08-13|1999-05-04|P||
15CAC02077|ANNIE FOR EDUCATION|1400 N 37TH ST|LINCOLN|NE|68503|C|2015-03-31|2015-03-31|I||||2015-03-18||||||||||2015-04-07|P||
99PPC00004|ANTELOPE COUNTY REPUBLICAN COMMITTEE (DISSOLVED)|P.O. BOX 29,|BRUNSWICK|NE|68720|T|1978-05-31|1978-05-31|I||0|I|1978-05-31|       |          |||||||1999-10-26|1999-03-11|P|0|0
08CAC01287|ANTHONY GOWAN FOR LAVISTA CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE |COLON|NE|68018|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||2008-01-01|P||
99PAC00112|APPLESEED PAC|123 ANYWHERE|WASHINGTON|DC|20036|S|1900-01-01|1900-01-01|I||0|I|1900-01-01||99IRC00053||||||R|1999-01-20|1998-05-04|P|0|0
06BQC00137|APS FOR KIDS (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|ARLINGTON|NE|68002|B|2006-06-19||||0||9999-12-31|||||||||||||
99BQC00085|AQUATIC PARK|152 E 6 ST|FREMONT |NE|68025|B|2003-05-30|2003-05-29|I|5.2 MILLION BOND ISSUE FOR AQUATIC PARK           |0|I|2003-05-29|||||||||2005-01-04|2004-11-02|G|1|1
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|1988-06-13|1988-06-13|I||0|I|1988-06-13|||||||||2005-11-30|2002-05-04|P||
99PAC00078|AQUILA, INC EMPLOYEE STATE PAC|1600 WINDHOEK DRIVE|LINCOLN|NE|68512|S|2000-02-10|2000-02-10|A||0|I|1988-06-13|||||||||2005-11-30|2004-11-05|G||
08PAC00153|AQUILIA INC. EMPLOYEE FEDERAL PAC (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|KANSAS CITY|MO|64105|P|1900-01-01|1900-01-01|I||||2008-01-20||||||||||2008-05-13|P||
99CAC00654|ARGANBRIGHT FOR LEGISLATURE (DISSOLVED)|BOX 67 - DESIRAE DRIVE|VALENTINE|NE|69201|C|2004-01-28|2004-01-27|I||0|I|2004-01-28|||||||||2006-01-10|2004-05-11|P||
99CAC00619|ARNOLD STUTHMAN CAMPAIGN FUND (DISSOLVED)|24160 310TH ST|PLATTE CENTER|NE|68653|C|2002-09-12|2002-09-12|I||0|I|2002-09-04|||||||||2011-01-26|2010-05-09|P||
99CAC00463|ART KNOX|123 ANYWHERE|LINCOLN|NE|68502|C|1978-01-01|1978-01-01|I||0|I|1978-01-01||99IRC00107||||||R|1978-01-01|1978-01-01|P|0|0
05CAC00755|ASHFORD FOR LEGISLATURE(DISSOVED)|7926 SHIRLEY ST|OMAHA|NE|68124|C|2005-11-22|2005-11-21|I||||2005-11-16|||||||||2012-05-23|2010-11-02|G||1
12CAC01688|ASHFORD FOR OMAHA (DISSOVED)|7926 SHIRLEY ST|OMAHA|NE|68124|C|2012-06-04||I||||2012-05-23|||||||||2015-09-10|2013-04-03|P||
99PAC00042|ASSOCIATED BEVERAGE DISTRIBUTORS OF NE (PAC)|301 S. 13TH STREET, SUITE 400|LINCOLN|NE|68508|S|1988-03-29|1988-03-29|I||0|I|1988-03-29||||||||||2012-11-08|G||
99PAC00011|ASSOCIATED BUILDERS & CONTRACTORS (ABC PAC)|830 WEST GATE BLVD|LINCOLN|NE|68528|S|1990-07-29|1980-07-29|I||0|I|1990-07-29||||||||||2012-11-08|P||
99PAC00014|AT & T PAC|635 S. 14TH STREET, SUITE 300,|LINCOLN|NE|68508|S|1984-09-12|1984-09-12|I||0|I|1984-09-12|       |          |||||||2000-10-17|2000-05-04|P|0|0
99PAC00120|AT&T PAC - NORTHWEST STATES|1875 LAWRENCE STREET, 15TH FLOOR|DENVER|CO|80202|S|2000-01-27|2000-01-27|I||0|I|2000-01-27||99IRC00124||||||R|2000-01-27|1999-01-01|P|0|0
05CAC00726|AVERY FOR LEGISLATURE (DISSOLVED)|1925 E STREET |LINCOLN|NE|68510|C|2005-05-17|2005-05-17|I||||2005-06-11|||||||||2015-04-08|2010-11-02|G|1|1
99CAC00142|BAACK FOR GOOD GOVERNMENT (DISSOLVED)|1712 DEVOE DRIVE|LINCOLN|NE|68506|C|1984-04-13|1984-04-13|I||0|I|1984-04-13|       |          |||||||2000-12-11|1998-05-04|P|0|0
99PAC00110|BACK PAC|7602 PACIFIC STREET|OMAHA |NE|68114|S|1900-01-01|1900-01-01|I||0|I|1900-01-01||99IRC00051||||||R|1999-01-01|1998-05-04|P|0|0
99CAC00025|BAKER FOR LEGISLATURE (DISSOLVED)|36031 ROAD 719|TRENTON|NE|69044|C|1997-11-20|1997-11-20|I||0|I|1997-11-20|||||||||2015-03-26|2010-11-02|G||1
99CAC00378|BALDWIN FOR MAYOR COMMITTEE (DISSOLVED)|101 WEST MISSION AVE|BELLEVUE|NE|68005|C|1998-11-10|1998-11-09|I||0| |1998-11-10|       |          |||||||1999-01-05|1998-11-04|G|0|0
99CAC00168|BARB NICHOLS FOR LEGISLATURE|2444 SOUTH CANTERBURY LANE|LINCOLN|NE|68512|C|1996-01-25|1996-01-25|I||0| |1996-01-25|       |          |||||||1998-09-17|1996-11-04|G|0|0
06CAC00970|BARB NICHOLS FOR NRD (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68130|C|1900-01-01||||||1900-01-01||||||||||2006-11-07|G||
08CAC01090|BARBARA BAIER FOR COMMISSIONER (DISSOLVED)|PO BOX 81485|LINCOLN|NE|68501|C|2008-02-20|2008-02-19|I||||2008-04-03|||||||||2010-09-01|2008-05-13|P||
99CAC00718|BARBARA BAIER FOR SCHOOL BOARD|P.O. BOX 81485|LINCOLN|NE|68501|C|2005-03-07|2005-03-07|I||0|I|2001-01-01||||||||||2005-05-03|P||
13CAC01799|BARBARA DAUGHTEN FOR SCHOOL BOARD (NOT REGISTERED)|123 FORE|ZIP NOT VALID|NE|00001|C|1900-01-01|1900-01-01|I||||1900-01-01|||||||||||||
09CAC01348|BARBARA DUTIEL FOR OPS #6 (NR)|NOT A REGISTERED COMMITTEE|OMAHA|NE|68132|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|P||
14CAC01935|BARBARA POUSSON FOR CLERK OF DISTRICT COURT|911 W. PERRY STREET|PAPILLION|NE|68046|C|2014-04-30|2014-04-28|I||||2014-04-28|||||||||2014-07-22|2014-05-13|P||
10CAC01487|BARBARA VELAZQUEZ OPS BOARD OF EDUCATION (NR)|5620 S. 48 AVE|OMAHA|NE|68117|C|1999-01-01|1999-01-01|I||||1999-01-01||||||||||2010-11-02|G||
10CAC01467|BARBARA WOHLERS FOR CASS COUNTY CLERK (NR)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68510|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|G||
07CAC01028|BARNEY HELTON AIRPORT AUTHORITY  (NOT REGISTERED)|NOT REGISTERED|LINCOLN|NE|68507|C|1900-01-01|1900-01-01|I||||1900-01-01||||||||||2007-04-03|||
08CAC01108|BARRIENTOS-PATLAN FOR LEGISLATURE (DISSOLVED)|3305 E STREET|OMAHA|NE|68107|C|2008-04-04|2008-04-04|I||||2008-03-26|||||||||2009-03-18|2008-11-08|G||1
08CAC01189|BARRY DEJONG FOR SCHOOL BOARD|603 OAK RIDGE ROAD|PAPILLION|NE|68046|C|2008-09-10|2008-09-09|I||||2008-09-03|||||||||2013-01-10|2008-11-04|G||
14CAC02027|BARRY DEKAY CAMPAIGN FUND|51228 896 RD |NIOBRARA|NE|68760|C|2014-11-07|2014-11-05|I||||2014-10-31||||||||||2014-11-04|G|1|
99CAC00465|BARRY LARSON FOR MUD|6060 WENNINGHOFF ROAD|OMAHA|NE|68134|C|2000-04-13|2000-04-12|I||0|I|2000-04-11||99IRC00109||||||R|2000-07-26|2000-05-09|P|0|0
06CAC00898|BARRY RICHARDS FOR GOVERNOR (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|HAYES CENTER|NE|69032|C|2006-05-16||||||9999-12-31|||||||||||||
99CAC00148|BART BONN FOR SARPY COUNTY COMMISSIONER|2613 Blackhawk Drive,|BELLEVUE|NE|68123|C|1996-04-04|1996-04-04|I||0|I|1996-04-04|       |          |||||||1999-07-13|1996-11-04|G|0|0
99CAC00026|BATAILLON FOR LT. GOVERNOR (DISSOLVED)|317 S. HAPPY HOLLOW BLVD.,|OMAHA|NE|68132|C|1998-03-06|1998-03-06|I||0|I|1998-03-06|       |          |||||||1999-12-20|1998-05-04|P|0|0
99CAC00505|BAUER FOR EDUCATION (DISSOLVED)|1718 SOUTH 181ST STREET|OMAHA|NE|68130|C|2000-09-22|2000-09-22|I||0|I|2000-09-12||99IRC00160||||||R|2001-07-02|2000-11-07|G|0|1
99CAC00641|BECK FOR CITY COUNCIL|524 SAILSIDE DR|LINCOLN|NE|68528|C|2003-03-10|2003-03-10|I||0|I|2003-03-03|||||||||2007-01-31|2003-04-08|P||
14CAC01940|BECKY BORYCA FOR CLERK OF THE DISTRICT COURT|60 CEDAR POINT|COZAD|NE|69130|C|2014-05-05|2014-05-02|I||||2014-04-28||||||||||2014-05-13|P||
08CAC01229|BEGLEY (JIM) FOR LEARNING COMMUNITY|15387 NICHOLAS|OMAHA|NE|68154|C|2008-10-24|2008-10-24|I||||2008-10-21|||||||||2009-02-09|2008-11-04|G||
99CAC00483|BEGLEY FOR MUD BOARD|123 ANYWHERE|LINCOLN|NE|68504|C|1978-01-01|1978-01-01|I||0|I|1978-01-01||99IRC00129||||||R|1978-01-01|2000-05-09|P|0|0
05CAC00756|BELLEVUE CITIZENS FOR BLOOD|2812 JACK PINE STREET|BELLEVUE|NE|68123|C|2005-11-22|2005-11-22|I||||2005-11-22|||||||||2007-10-10|2006-05-09|P||
13BQC00330|BELLEVUE PROPOSITION 1 (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|PAPILLION|NE|68046|B|2013-01-18|||to increase sales tax by one half percent|0||9999-12-31|||||||||||||
08CAC01166|BEN ENGLISH FOR LEGISLATURE (NOT REGISTERED)|NOT A REGISTERED COMMITTEE|LINCOLN|NE|68508|C|1900-01-01|1900-01-01|I||||2008-08-15||||||||||2008-01-01|G||
14CAC01942|BEN GOTSCHALL FOR NPPD|6505 WEST DAVEY ROAD|RAYMOND|NE|68428|C|2014-05-05|2014-05-05|I|||O|2014-05-02||||||||||2014-05-13|P||
09CAC01361|BEN GRAY FOR CITY COUNCIL|4942 NEBRASKA AVE|OMAHA|NE|68104|C|2009-02-05|2009-01-26|I||||2009-01-06||||||||||2013-04-03|P||
06CAC00978|BEN LOOMIS FOR MRNRD BOARD|NOT A REGISTERED COMMITTEE|MILLER|NE|68858|C|2006-10-19|2006-10-19|I||||9999-12-31||||||||||2006-11-07|||
99CAC00290|BEN NELSON FOR GOVERNOR (DISSOLVED)|12357 CUMING STREET,|OMAHA|NE|68154|C|1989-10-30|1989-10-30|I||0|I|1989-10-30|||||||||2002-06-10|1994-11-08|G||1
10CAC01536|BEN PREIS FOR RALSTON CITY COUNCIL (NR)|NOT A REGISTERED COMMITTEE|OMAHA |NE|68127|C|9999-12-31|9999-12-31|I||||9999-12-31||||||||||9999-12-31|G||
99CAC00669|BEN THOMPSON FOR LEGISLATURE|13906 GOLD CIRCLE SUITE 201|OMAHA|NE|68144|C|2004-03-30|2004-03-29|I||0|I|2004-05-29||99IRC00383||||||R|1900-01-01|2004-11-02|G|0|1
15CAC02110|BENGTSON FOR LEGISLATURE|520 CARDINAL DRIVE|SOUTH SIOUX CITY |NE|68776|C|2015-11-13|2015-11-11|I||||2015-11-09||||||||||2016-05-10|P||1
99CAC00028|BENNETT FOR GOVERNOR|3804 CENTRAL AVE|KEARNEY|NE|68847|C|1997-10-17|1997-10-17|I||0|I|1997-10-17|       |          |||||||2002-05-01|2002-05-04|P|0|0
07IRC00478|BENNINGTON ABC COMMITTEE ( FOR BOND ISSUE) |NOT A REGISTERED COMMITTEE|BENNINGTON|NE|68007|R|2007-05-01|2007-04-30|I||||2007-04-30|||||||||||||
