ID|Lobbyist Last Name|Lobbyist First Name|Principal Name|Statement Due|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
279|Cavanaugh|Patrick|Cavanaugh, James|1st Quarter Report|1999-04-15|1999-04-21|$60.00|REDUCED|$0.00|1999-05-10||
280|Itkin|Laurie|Sprint|1st Quarter Report|1999-04-15|1999-04-21|$60.00|REDUCED|$0.00|1999-05-07||
281|Gale|Kristine|CalEnergy Company. Inc.|1st Quarter Report|1999-04-15|1999-04-22|$70.00|PAID|||1999-05-03|
282|Gale|David|Berens & Tate, P.C.|1st Quarter Report|1999-04-15|1999-04-22|$70.00|REDUCED|$0.00|1999-05-11||
283|Cady|Steve|NE Pork Producers Assn., Inc.|1st Quarter Report|1999-04-15|1999-04-22|$70.00|REDUCED|$0.00|1999-05-07||
284|Prenda|Amy|Kissel/E A S Associates|1st Quarter Report|1999-04-15|1999-04-26|$110.00|PAID|||1999-05-12|
285|Carstenson|Eric B.|Nebraska Telephone Association|1st Quarter Report|1999-04-15|1999-04-23|$80.00|PAID|||1999-05-18|
286|Thrasher|Lowell|Norwest Nebraska, N.A.|1st Quarter Report|1999-04-15|1999-04-27|$120.00|REDUCED|$0.00|1999-05-11||
288|Tewes|Tim|Norwest Bank, N.A.|1st Quarter Report|1999-04-15|1999-05-03|$180.00|RED/PAID|$10.00|1999-06-18|1999-06-17|
290|Dugan|Susie|P.R.I.D.E. - Omaha|1st Quarter Report|1999-04-15|1999-05-24|$300.00|REDUCED|$0.00|1999-06-07||
291|Graves|Eugene|Metro Omaha Builders Association|1st Quarter Report|1999-04-15|1999-05-21|$300.00|REDUCED|$0.00|1999-06-07||
292|Babcock|Marsha|Mechanical Contractors Assn. Of Omaha|1st Quarter Report|1999-04-15|1999-05-25|$300.00|REDUCED|$0.00||1999-06-14|
293|Pappas|James|Millard Public Schools|Statement of Activity|1999-07-12|1999-07-14|$20.00|RED/PAID|$10.00|1999-09-07|1999-09-07|
294|Pappas|James|Nebraska Lakes Assn.|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-09-07||
295|Pappas|James|UNO Faculty|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-09-07||
296|Pappas|James|Northwestern Public Service|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-09-07||
297|Pappas|James|LaVista Keno|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-09-07||
298|Pappas|James|Independent Colleges Assn.|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-09-07||
299|Goc|John|Class 1's United|Statement of Activity|1999-07-12|1999-07-15|$30.00|RED/PAID|$10.00|1999-08-26|1999-08-26|
301|Goc|John|Friends of Rural Education|Statement of Activity|1999-07-12|1999-07-15|$30.00|RED/PAID|$10.00|1999-08-26|1999-08-26|
302|Goc|John|NE Chapter of the Appraisal Institute|Statement of Activity|1999-07-12|1999-07-15|$30.00|RED/PAID|$10.00|1999-08-26|1999-08-26|
303|Goc|John|Safety Warning Systems|Statement of Activity|1999-07-12|1999-07-15|$30.00|RED/PAID|$10.00|1999-08-26|1999-08-26|
304|Goc|John|Metropolitan Utilities District|Statement of Activity|1999-07-12|1999-07-15|$30.00|REDUCED|$10.00|1999-08-26|1999-08-26|
305|Goc|John|Nebraska Keno Operators|Statement of Activity|1999-07-12|1999-07-15|$30.00|RED/PAID|$10.00|1999-08-26|1999-08-26|
306|Withem|Ronald|University of Nebraska|Statement of Activity|1999-07-12|1999-07-13|$10.00|REDUCED|$0.00|1999-08-24||
307|Van Pelt|Carter|Nebraska Against the Death Penalty|Statement of Activity|1999-07-12|1999-07-13|$10.00|PAID|||1999-08-04|
308|Traynowicz|Mark|Lancaster County School District 153|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-08-03||
309|Sheehy|Warren|ABATE of Nebraska|Statement of Activity|1999-07-12|1999-07-23|$110.00|REDUCED|$0.00|1999-08-12||
310|Pappas|Kimberly|James Pappas|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-08-24||
311|Nessetti|Matthew|Lancaster County School District 153|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-08-12||
312|Kruse|Larry|Glaxo Wellcome, Inc.|Statement of Activity|1999-07-12|1999-07-15|$30.00|PAID|||1999-08-12|
313|Krannawitter|Brian|American Heart Association|Statement of Activity|1999-07-12|1999-07-13|$10.00|REDUCED|$0.00|1999-09-16||
314|King|Terry|Nebraska Chapter, Associated General Contractors|Statement of Activity|1999-07-12|1999-07-15|$30.00|REDUCED|$0.00|1999-08-12||
315|Kevil|G. Bruce|NE State Home Builders Association|Statement of Activity|1999-07-12|1999-07-14|$20.00|PAID|||1999-09-02|
316|Jordison|John|NE Tax Research Council|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-08-04||
317|Hartmann|Bill|Associated General Contractors|Statement of Activity|1999-07-12|1999-07-14|$20.00|REDUCED|$0.00|1999-08-12||
318|Gale|Kristine|MidAmerica Energy Holdings Company|Statement of Activity|1999-07-12|1999-07-15|$30.00|PAID|||1999-09-17|
319|Gale|David|Berens & Tate, P.C.|Statement of Activity|1999-07-12|1999-07-23|$110.00|REDUCED|$0.00|1999-08-31||
320|Clark|Douglas|Utilicorp United|Statement of Activity|1999-07-12|1999-07-21|$90.00|PAID|||1999-09-20|
322|Barta|Roy|Nebraska Livestock Markets Assn.|Statement of Activity|1999-07-12|1999-07-21|$90.00|REDUCED|$0.00|1999-08-03||
323|Babcock|Marsha|Mechanical Contractors Assn.|Statement of Activity|1999-07-12|1999-07-14|$20.00|PAID|||1999-08-20|
324|Kelley|Michael|Cavanaugh Law Office|2nd Quarter Report|1999-07-15|1999-07-27|$120.00|REDUCED|$0.00|1999-09-14||
325|McGuire|Mark|H. Jack Moors & Associates|2nd Quarter Report|1999-07-15|1999-07-21|$60.00|REDUCED|$0.00|1999-08-30||
326|Barrett|Mary|M.O.C.S.E.A.|2nd Quarter Report|1999-07-15|1999-07-21|$60.00|REDUCED|0.00|2010-04-12||
327|Itkin|Laurie|Sprint|2nd Quarter Report|1999-07-15|1999-07-19|$40.00|RED/PAID|$10.00|1999-08-27|1999-08-27|
328|Chermok|Ruth|National Electrical Contractors Associaton|2nd Quarter Report|1999-07-15|1999-07-19|$40.00|REDUCED|$0.00|1999-08-24||
329|Marshall|Kelly|Pharmacia & Upjohn|2nd Quarter Report|1999-07-15|1999-07-19|$40.00|REDUCED|$0.00|1999-08-03||
330|Funk|Christine|Planned Parenthood of Lincoln|2nd Quarter Report|1999-07-15|1999-07-22|$70.00|PAID|||1999-08-09|
331|Fischer|Gary|Family Housing Advisory Service, Inc.|2nd Quarter Report|1999-07-15|1999-07-22|$70.00|PAID|||1999-08-13|
332|McCullough|Mardy|Nebraska Land Title Association|2nd Quarter Report|1999-07-15|1999-07-23|$80.00|PAID|||1999-08-12|
333|Becker|Timothy A.|Radcliffe & Associates|2nd Quarter Report|1999-07-15|1999-07-22|$70.00|REDUCED|$0.00|1999-08-24||
334|Potter|Cara|Nebraska Retail Grocers Association|2nd Quarter Report|1999-07-15|1999-07-22|$70.00|PAID|||1999-08-11|
1|Babcock|Marsha|Mechanical Contractors Association of Omaha|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-08-20||
2|Babcock|Marsha|Sierra Club, NE Chapter|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-08-20||
3|Quirk|Deb|NE Democratic Party|2nd Quarter Report|1998-07-15|1998-07-29|$140.00|REDUCED|$0.00|1998-08-20||
4|Swertzic|Michelle|NE Propane Gas Association|2nd Quarter Report|1998-07-15|1998-07-31|$160.00|PAID|||1998-09-29|
5|Van Pelt|Carter|Nebraskans Against the Death Penalty|2nd Quarter Report|1998-07-15|1998-07-28|$130.00|REDUCED|$0.00|1998-08-19||
6|Van Pelt|Carter|Nebraskans Against the Death Penalty|1st Quarter Report|1998-04-15|1998-05-20|$300.00|REDUCED|$0.00|1998-06-09||
7|Johnson|Jerry|Johnson & Johnson|2nd Quarter Report|1998-07-15|1998-07-31|$160.00|PAID|||1998-08-31|
8|Belcher|Barbara|Merck Human Health Division|2nd Quarter Report|1998-07-15|1998-07-30|$150.00|PAID|||1998-09-02|
9|Belcher|Barbara|Merck Human Health Division|3rd Quarter Report|1996-10-15|1996-10-28|$130.00|PAID|||1997-04-28|
10|Snyder|Kimberly|NE Telephone Association|2nd Quarter Report|1998-07-15|1998-08-10|$300.00|REDUCED||||
11|Snyder|Kimberly|NE Telephone Association|2nd Quarter Report|1997-07-15|1997-07-17|$20.00|PAID|||1997-07-24|
12|Haar|Ken|NE Democratic Party|2nd Quarter Report|1998-07-15|1998-07-28|$130.00|REDUCED|$0.00|1998-08-13||
13|Schmit|Loran|NE Wheatgrowers Association|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-07-28||
14|Schmit|Loran|NE Soybean Association|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-07-28||
15|Schmit|Loran|Ethanol Research & Development|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-07-28||
16|Schmit|Loran|Bell Family Farms|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-08-14||
17|Schmit|Loran|Agriculture Processing, Inc.|2nd Quarter Report|1998-07-15|1998-07-27|$120.00|REDUCED|$0.00|1998-08-14||
18|Orton|LeRoy|NE State Irrigation Association|2nd Quarter Report|1998-07-15|1998-07-23|$80.00|REDUCED|$0.00|1998-08-14||
19|Orton|LeRoy|NE Well Drillers Association|2nd Quarter Report|1998-07-15|1998-07-23|$80.00|REDUCED|$0.00|1998-08-14||
20|Schoenrock|Robert|Brotherhood of Maintenance of Way Employees|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
21|Mills|Jack|NE Association of County Officials|2nd Quarter Report|1998-07-15|1998-07-22|$70.00|REDUCED|$0.00|1998-08-14||
22|Ferrell|Beth Bazyn|NE Association of County Officials|2nd Quarter Report|1998-07-15|1998-07-22|$70.00|REDUCED|$0.00|1998-08-14||
23|Menzel|Elaine|NE Association of County Officials|2nd Quarter Report|1998-07-15|1998-07-22|$70.00|REDUCED|$0.00|1998-08-14||
24|Nelson|Craig|NE Association of County Officials|2nd Quarter Report|1998-07-15|1998-07-22|$70.00|REDUCED|$0.00|1998-08-14||
25|Head|Craig|NE Farm Bureau Federation|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
26|Neidig|Bryce|NE Farm Bureau Federation|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
27|Rempe|Jay|NE Farm Bureau Federation|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
28|Robertson|Rob|NE Farm Bureau Federation|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
29|Stewart|Elizabeth|NE Farm Bureau Federation|2nd Quarter Report|1998-07-15|1998-07-17|$20.00|REDUCED|$0.00|1998-08-14||
30|Beardsley|David|Infiltrator Systems, Inc.|Statement of Activity|1998-05-29|1998-06-22|$240.00|PAID|||1998-09-11|
31|Beardsley|Daniel|Infiltrator Systems, Inc.|1st Quarter Report|1998-04-15|1998-05-20|$300.00|REDUCED|$0.00|1998-06-09||
32|Deever|Howard|NE Self Insurers Association|1st Quarter Report|1998-04-15|1998-06-04|$300.00|REDUCED|$0.00|1999-01-27||
34|Peffer|Walt|Alan Baer & Associates|1st Quarter Report|1997-04-15|1997-06-23|$300.00|REDUCED|$0.00|1998-08-28||
35|Siefken|Kathy|NE Retail Grocers|3rd Quarter Report|1996-10-15|1996-10-22|$70.00|PAID|||1997-04-02|
36|Sullivan|Pat|Independent Lumber Dealers Association|Statement of Activity|1998-05-29|1998-06-25|$270.00|PAID|||1999-10-05|
37|Sullivan|Pat|Independent Lumber Dealers Association|3rd Quarter Report|1997-10-15|1997-10-21|$60.00|PAID|||1997-11-12|
38|Abboud|Andrew|NE Republican Party|2nd Quarter Report|1997-07-15|1997-07-21|$60.00|PAID|$10.00|1997-09-10|1997-09-10|
39|Adams|John|International Gamco, Inc.|4th Quarter Report|1998-01-15|1998-03-23|$300.00|PAID|||1998-04-23|
40||American Communications|Papio Missouri NRD|Statement of Activity|1997-07-28|1997-08-12|$150.00|PAID|||1997-09-03|
41|Adams|John|International Gamco, Inc.|3rd Quarter Report|1996-10-15|1996-10-24|$90.00|PAID|||1997-04-04|
42|Ashley|Thomas|Lincoln Benefit Life|1st Quarter Report|1997-04-15|1997-04-18|$30.00|PAID|||1997-07-02|
43|Baack|Dennis|NE Community College Association|3rd Quarter Report|1997-10-15|1997-10-24|$90.00|PAID|||1997-11-03|
44|Bare|Larry|City of Lincoln|Statement of Activity|1997-07-28|1997-08-01|$40.00|REDUCED|$10.00|1997-08-26|1997-08-22|
45|Bare|Larry|City of Lincoln|4th Quarter Report|1997-01-15|1997-01-22|$70.00|REDUCED|$0.00|1997-04-08||
46|Barnett|Linda|YMCA's of NE|Statement of Activity|1998-05-29|1998-06-05|$70.00|REDUCED|$0.00|1998-06-16||
47|Bleich|Christine|NE Citizen Action Network|Statement of Activity|1998-05-29|1998-06-01|$30.00|REDUCED|$0.00|1998-07-15||
48|Bleich|Christine|NE Sierra Club|Statement of Activity|1998-05-29|1998-06-01|$30.00|REDUCED|$0.00|1998-07-15||
49|Bleich|Walter|NE Citizen Action Network|Statement of Activity|1998-05-29|1998-06-01|$30.00|PAID|||1998-06-26|
50|Boucher|Richard|NE County Attorney's Association|3rd Quarter Report|1997-10-15|1997-10-27|$120.00|REDUCED|$0.00|1997-10-30||
51|Boldt|Randy|HMO, Nebraska|Statement of Activity|1998-05-29|1998-06-18|$200.00|PAID|||1998-07-15|
52|Boldt|Randy|HMO, Nebraska|3rd Quarter Report|1997-10-15|1997-10-17|$20.00|PAID|||1997-10-29|
53|Boldt|Randy|Blue Cross Blue Shield of NE|3rd Quarter Report|1997-10-15|1997-10-17|$20.00|PAID|||1997-10-22|
54|Boldt|Randy|HMO, Nebraska|Statement of Activity|1997-07-28|1997-07-31|$30.00|PAID|||1997-08-08|
55|Boldt|Randy|Blue Cross Blue Shield of NE|Statement of Activity|1997-07-28|1997-07-31|$30.00|PAID|||1997-08-08|
56|Bouges|Merle|Disabled American Veterans|Statement of Activity|1998-05-29|1998-06-22|$240.00|REDUCED|$0.00|1998-06-24||
57|Bredthauer|Trudy|Omaha Public Schools|1st Quarter Report|1998-04-15|1998-04-20|$50.00|PAID|||1998-06-09|
58|Bredthauer|Trudy|NE Methodist Health System, Inc.|1st Quarter Report|1998-04-15|1998-04-20|$50.00|PAID|||1998-06-09|
59|Bredthauer|Trudy|NE Methodist Health System|4th Quarter Report|1997-01-15|1997-01-16|$10.00|PAID|||1997-05-16|
60|Bredthauer|Trudy|Omaha Public Schools|4th Quarter Report|1997-01-15|1997-01-16|$10.00|PAID|||1997-05-16|
61|Brown|Vincent|American Petroleum Institute|4th Quarter Report|1998-01-15|1998-01-22|$70.00|PAID|||1998-04-15|
62|Cannon|Jonathan|Lincoln Benefit Life|1st Quarter Report|1997-04-15|1997-04-18|$30.00|PAID|||1997-07-10|
63|Castner|Anne|Greater Omaha Chamber of Commerce|Statement of Activity|1998-05-29|1998-06-04|$60.00|REDUCED|$0.00|1998-07-28||
64|Cavanaugh|James|AMISUB (St. Joseph Hospital)|4th Quarter Report|1997-01-15|1997-01-21|$60.00|PAID|||1997-09-04|
65|Cavanaugh|James|NE Brewing Company|4th Quarter Report|1997-01-15|1997-01-21|$60.00|PAID|||1997-09-04|
66|Cederberg|John|Limited Liability Company Association|4th Quarter Report|1997-01-15|1997-01-21|$60.00|REDUCED|$0.00|1997-04-08||
67|Cederberg|John|Triad Fasteners, LP|4th Quarter Report|1997-01-15|1997-01-21|$60.00|REDUCED|$0.00|1997-04-08||
68|Childers|Paula|Mothers Against Drunk Driving, Nebraska|Statement of Activity|1998-05-29|1998-06-29|$300.00|REDUCED|$0.00|1998-07-30||
69|Clark|Doug|Utilicorp United|Statement of Activity|1998-05-29|1998-06-04|$60.00|PAID|||1998-07-22|
70|Clark|Doug|Utilicorp United|2nd Quarter Report|1997-07-15|1997-07-16|$10.00|PAID|||1997-08-27|
71|Connolly|Christopher|Northeast NE Juvenile Services, Inc.|4th Quarter Report|1998-01-15|1998-03-10|$300.00|PAID|||1998-03-25|
72|Connolly|Christopher|Northeast NE Juvenile Services|1st Quarter Report|1997-04-15|1997-04-18|$10.00|PAID|||1997-04-24|
73|Counts|Barry|Sprint|1st Quarter Report|1998-04-15|1998-04-17|$20.00|PAID|||1998-05-29|
74|Counts|Barry|Sprint|3rd Quarter Report|1997-10-15|1997-10-28|$130.00|PAID|||1997-11-17|
