ID|Corporation Name|Month Of Contribution|Due Date|Date Filed|Amount|Status|Reduced|Order Signed|Date Paid|Interest Paid
359|Ted Grace Construction|May|1997-06-10|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
360|Ted Grace Homes, Inc.|February|1997-03-10|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
361|Ted Grace Homes, Inc.|March|1997-04-10|1997-07-18|$300.00|REDUCED|$0.00|1997-08-01||
362|Grand Island Trust & Financial Services|October|1996-11-12|1996-11-14|$20.00|REDUCED|$0.00|1997-01-02||
363|Great Plains Communications|February|1998-03-10|1998-03-24|$140.00|PAID||||
364|Great Plains Communications|January|1998-02-10|1998-02-24|$140.00|PAID||||
365|Great Plains Communications|August|1997-09-10|1998-02-18|$300.00|PAID||||
366|Great Plains Communications|October|1997-11-10|1997-11-20|$100.00|PAID||||
367|Great Plains Communications|November|1996-12-10|1997-05-08|$300.00|REDUCED|$0.00|1997-06-17||
368|Great Plains Communications|December|1997-01-10|1997-05-08|$300.00|REDUCED|$0.00|1997-06-17||
369|Great Plains Communications|February|1997-03-10|1997-05-08|$0.00|PAID|$10.00|1997-06-17||
370|united airlines|July|1996-08-12|1997-02-19|$300.00|REDUCED|$0.00|1997-04-21||
371|Great Plains Communications|October|1996-11-12|1997-02-19|$300.00|REDUCED|$0.00|1997-04-21||
372|Great Plains Communications|January|1997-02-10|1997-02-14|$40.00|REDUCED|$0.00|1997-04-21||
373|Great Plains Energy Corp|February|1997-03-10|1997-04-17|$300.00|PAID||||
374|Great Plains Energy Corp.|March|1997-04-10|1997-04-17|$70.00|PAID||||
375|Greater Fremont Development Council|October|1996-11-12|1996-12-26|$300.00|REDUCED|$0.00|1997-01-23||
376|Greater Omaha Chamber of Commerce|February|1997-03-10|1997-04-16|$300.00|PAID||||
377|Greater Omaha Chamber of Commerce|March|1997-04-10|1997-04-16|$60.00|PAID||||
378|Greater Omaha Chamber of Commerce|August|1996-09-10|1996-10-01|$210.00|PAID||||
379|Greater Omaha Packing |January|1996-05-10|1997-05-02|$300.00|REDUCED|$0.00|1997-05-14||
380|Griffiths-Hovendick Chapel, Inc.|January|1997-12-10|1997-12-16|$60.00|REDUCED|$0.00|1998-02-04||
381|Grube Chrysler Plymouth, Inc.|October|1996-11-12|1996-11-14|$20.00|PAID||||
382|Grunwald Mechanical Contractors, Inc.|March|1997-04-10|1997-04-24|$130.00|PAID|$10.00|1997-04-29||
383|Grunwald Mechanical Contractos|March|1997-04-10|1997-04-24|$140.00|PAID|$10.00|1997-04-29||
384|Grunwald Mechanical Contractors|April|1996-05-10|1996-05-16|$60.00|REDUCED|$0.00|1996-06-19||
385|HDR, Inc.|March|1998-04-10|1998-04-29|$190.00|REDUCED|$0.00|1998-05-12||
386|HWS Consulting Group, Inc.|January|1997-02-10|1997-04-16|$300.00|REDUCED|$0.00|1997-05-09||
387|HWS Consulting Group, Inc.|February|1997-03-10|1997-04-16|$300.00|REDUCED|$0.00|1997-05-09||
388|HWS Consulting Group, Inc.|March|1997-04-10|1997-04-16|$60.00|REDUCED|$0.00|1997-05-09||
389|T.O. Hass Tire Co., Inc.|February|1997-03-10|1998-06-09|$300.00|REDUCED|$0.00|1998-06-23||
390|T.O. Haas Tire Co., Inc.|May|1997-06-10|1998-06-09|$300.00|REDUCED|$0.00|1998-06-23||
391|Hall County Livestock Improvement Association|May|1997-06-10|1997-06-13|$0.00|REDUCED|$0.00|1997-08-08||
392|Hamilton County Farm Bureau|October|1996-11-12|1996-11-14|$20.00|REDUCED|$0.00|1997-01-02||
393|Hamilton-Chevrolet-Cadillac, BMW|August|1997-09-10|1998-04-22|$300.00|PAID||||
394|Hamilton-Chevrolet-Cadillac, BMW|July|1997-08-10|1998-03-17|$300.00|PAID||||
395|Hamilton-Chevrolet, Cadillac, BMW|September|1996-10-10|1996-10-24|$140.00|PAID||||
396|Hamilton Equipment Co.|April|1996-05-10|1996-06-07|$280.00|REDUCED|$0.00|1996-06-25||
397|Hampton Development Services, Inc.|May|1997-06-10|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
398|Hampton Development Services, Inc.|July|1997-08-11|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
399|Hampton Development Services, Inc.|December|1998-01-12|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
400|Hampton Development Services, Inc.|February|1997-03-10|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
401|Hampton Development Services, Inc.|March|1997-04-10|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
402|Hampton Development Services, Inc.|April|1997-05-12|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
403|Hampton Development Services, Inc.|June|1997-07-10|1998-04-13|$300.00|REDUCED|$0.00|1998-04-29||
404|Hanna Corporation|April|1997-05-12|1997-09-16|$300.00|PAID|$10.00|1997-09-29||
405|Hanna Corporation|October|1996-11-12|1996-12-10|$280.00|REDUCED|$0.00|1997-01-23||
406|Hansen, Engles & Locher, PC|April|1996-05-10|1996-10-07|$300.00|REDUCED|$0.00|1996-10-23||
407|Hansen, Engels & Locher, PC|July|1996-08-10|1996-10-07|$300.00|REDUCED|$0.00|1996-10-29||
408|Harlan County Farm Bureau|October|1996-11-12|1996-11-14|$20.00|REDUCED|$0.00|1997-01-02||
409|Hart Livestock, Inc.|February|1998-03-10|1998-04-07|$280.00|REDUCED|$0.00|1998-04-27||
410|Hauptman, O'Brien, Wolf & Lathrop|August|1996-09-10|1996-11-06|$300.00|REDUCED|$0.00|1997-01-02||
411|Hauptman, O'Brien, Wolf & Lathrop|September|1996-10-10|1996-11-06|$270.00|REDUCED|$0.00|1997-01-02||
412|Hawkins Construction Company|January|1998-02-10|1998-02-17|$70.00|PAID||||
413|Hawkins Construction Company|March|1997-04-10|1997-04-18|$80.00|REDUCED|$0.00|1997-05-09||
414|Health Care Suppliers, Inc.|January|1997-02-10|1997-04-30|$300.00|PAID||||
415|Hendricks/Sempeck II|July|1996-08-10|1996-10-11|$300.00|REDUCED|$0.00|1996-10-23||
416|Heritage Builders, Inc.|February|1997-03-10|1997-05-07|$300.00|REDUCED|$0.00|1997-06-09||
417|Herpolsheimer's Inc.|October|1996-11-12|1996-11-15|$30.00|REDUCED|$0.00|1997-01-02||
418|J H Hespe Co., Inc.|October|1996-11-12|1997-01-07|$300.00|REDUCED|$0.00|1997-01-29||
419|R.W. Hicks Construction Co.|March|1997-04-10|1997-05-11|$300.00|REDUCED|$0.00|1997-08-26||
420|R.W. Hicks Construction Co.|April|1997-05-12|1997-08-11|$300.00|REDUCED|$0.00|1997-08-26||
421|Hinky Dinkey Supermarkets, Inc.|December|1997-01-10|1997-01-16|$60.00|REDUCED|$0.00|1997-02-03||
422|Holen Land & Cattle, Inc.|February|1998-03-10|1998-05-28|$300.00|REDUCED|$0.00|1998-06-09||
423|Holnam, Inc.|April|1996-05-10|1996-09-16|$300.00|REDUCED|$0.00|1996-09-27||
424|Home Real Estate (Lincoln)|January|1998-02-10|1998-02-18|$80.00|PAID|$10.00|1998-03-06||
425|Home Real Estate (Lincoln)|February|1997-03-10|1997-03-14|$40.00|REDUCED|$0.00|1997-04-04||
426|Home Real Estate (Omaha)|March|1997-04-10|1997-04-22|$120.00|REDUCED|$0.00|1997-05-30||
427|Home State Bank|February|1998-03-10|1998-06-10|$300.00|REDUCED|$0.00|1998-07-01||
428|Home State Bank|April|1998-05-11|1998-06-10|$300.00|REDUCED|$0.00|1998-07-01||
429|Hoppe, Inc.|October|1996-11-12|1996-11-20|$80.00|REDUCED|$0.00|1997-01-09||
430|Howard County Land & Cattle|September|1997-10-10|1997-11-10|$300.00|RED/PAID|$10.00|1997-11-19|1998-12-15|
1|Goldenrod|April|1998-05-11|1998-06-25|$300.00|REDUCED||||$13.69
2|A T & T|May|1998-06-10|1998-07-10|$300.00|PAID|||1998-12-14|
3|Benson Transfer & Storage Co.|January|1998-02-10|1998-03-26|$300.00|REDUCED|$0.00|1999-05-19||
4|Benson Transfer & Storage Co.|December|1998-01-12|1998-03-26|$300.00|REDUCED|$0.00|1999-06-25||
5|Blazek & Associates|January|1997-02-10|1997-04-23|$300.00|PAID|||2000-03-22|
6|Construction Sciences, Inc.|May|1997-06-10|1997-08-21|$300.00|REDUCED|$0.00|2001-07-23||
8|HDR, Inc.|May|1998-06-10|1998-07-09|$290.00|RED/PAID|$10.00|1998-08-05|1998-08-05|
9|Kirkpatrick Pettis|April|1998-05-11|1998-05-18|$70.00|PAID|$10.00|2000-03-14|2000-03-14|
10|Kirkpatrick Pettis|May|1998-06-10|1998-06-22|$120.00|PAID||||
12|Nebraska Farm Bureau Federation|June|1998-07-10|1998-07-17|$70.00|RED/PAID|$10.00|1998-08-05|1998-08-05|
14|Greater Omaha Chamber of Commerce|June|1998-07-10|1998-07-14|$40.00|RED/PAID|$10.00|1998-08-13|1998-08-13|
15|Alfred G. Thomsen|April|1996-05-10|1996-05-30|$200.00|REDUCED|$0.00|2002-03-25||
16|United Steelworkers of America #286|January|1997-05-12|1997-09-17|$300.00|PAID|$10.00|1997-10-02||
17|A-1 United Heating & Air Conditioner|January|1997-01-30|1997-04-23|$300.00|REDUCED|$0.00|1997-05-08||
18|A-1 United Heating & Air Conditioner|March|1997-04-10|1997-04-24|$140.00|REDUCED|$0.00|1997-05-08||
19|A & S Concrete Recycling|March|1997-04-10|1997-04-15|$50.00|REDUCED|$0.00|1997-05-06||
20|ABC Construction Company, Inc.|April|1996-05-10|1996-06-05|$260.00|REDUCED|$0.00|1996-06-19||
21|AGT, Inc.|May|1996-06-10|1996-08-01|$300.00|REDUCED|$0.00|1996-08-07||
22|Abbott Parking, Inc.|April|1997-05-12|1997-08-21|$300.00|REDUCED|$10.00|1997-09-19||
23|Abbott Parking, Inc.|January|1997-02-10|1997-05-23|$300.00|REDUCED|$0.00|1997-06-03||
24|Abbott Parking, Inc.|February|1997-03-10|1997-05-23|$300.00|REDUCED|$0.00|1997-06-03||
25|Abbott Parking, Inc.|March|1997-04-10|1997-05-23|$300.00|REDUCED|$0.00|1997-06-03||
26|Abbott Parking, Inc.|April|1997-05-12|1997-05-23|$110.00|REDUCED|$0.00|1997-06-03||
27|Able Professional Movers, Inc.|May|1996-06-10|1996-07-18|$300.00|REDUCED|$0.00|1996-08-06||
28|Abraham Catering Service, Inc.|April|1998-05-11|1998-06-08|$280.00|REDUCED|$0.00|1998-07-01||
29|Accent Service Company|September|1996-10-10|1996-10-22|$120.00|REDUCED|$0.00|1997-01-02||
30|Account Recovery, Inc.|May|1996-06-10|1996-08-13|$300.00|REDUCED|$0.00|1996-10-24||
31|Acceptance Insurance Companies, Inc.|October|1996-11-12|1996-12-13|$300.00|PAID||||
32|Acceptance Insurance Companies, Inc.|August|1996-09-10|1996-11-07|$300.00|PAID||||
33|Acton Group, LTD.|August|1997-09-10|1998-02-17|$300.00|PAID||||
34|Affiliated Foods Cooperative, Inc.|November|1997-12-10|1998-04-16|$300.00|PAID||||
35|Affiliated Foods Cooperative, Inc.|August|1997-09-10|1998-02-27|$300.00|REDUCED|$10.00|1998-03-16||
36|Affiliated Foods Cooperative, Inc.|October|1996-11-12|1996-11-22|$100.00|REDUCED|$0.00|1997-01-03||
37|Ag Processing, Inc.|January|1997-02-10|1998-04-15|$300.00|PAID||||
38|Ag Processing, Inc.|October|1997-11-10|1998-01-12|$300.00|PAID||||
39|Ag Processing, Inc.|December|1997-01-10|1997-02-21|$300.00|REDUCED|$10.00|1997-04-20||
40|Ag Processing, Inc.|November|1996-12-10|1997-02-05|$300.00|REDUCED|$0.00|1997-03-25||
41|Agricultural Services, Inc.|April|1998-05-11|1998-06-10|$300.00|REDUCED|$0.00|1998-06-23||
42|Agrow, Inc.|February|1998-03-10|1998-04-06|$270.00|REDUCED|$0.00|1998-04-27||
43|Ahren's Inc. d/b/a Eddie's Catering|March|1997-04-10|1997-06-23|$300.00|REDUCED|$0.00|1997-08-01||
44|Ahren's, Inc.d/b/a Eddie's Catering|April|1997-05-12|1997-06-23|$300.00|REDUCED|$0.00|1997-08-01||
45|Aksarben Heating|October|1996-11-11|1997-04-03|$300.00|REDUCED|$0.00|1997-05-15||
46|Ak-Sar-Ben Petroleum Corporation|December|1998-01-12|1998-03-09|$300.00|REDUCED|$0.00|1998-03-23||
47|AL Ranch Company, Inc.|April|1998-05-11|1998-05-28|$170.00|REDUCED|$0.00|1998-06-17||
48|All American Meats, Inc.|April|1997-05-12|1997-05-16|$40.00|REDUCED|$0.00|1997-06-11||
49|All Makes Office Equipment|November|1997-12-10|1998-04-22|$300.00|PAID||||
50|All Makes Office Equipment|July|1997-08-10|1998-04-02|$300.00|PAID||||
51|All Makes Office Equipment|April|1996-05-10|1996-05-16|$60.00|PAID||||
52|All Makes Office Equipment|April|1996-05-10|1996-05-16|$60.00|PAID||||
53|Allen Oil & Propane, Inc.|October|1996-11-12|1997-01-31|$300.00|REDUCED|$0.00|1997-03-19||
54|Allied Securities, Inc.|November|1996-12-10|1997-01-23|$300.00|REDUCED|$0.00|1997-02-07||
55|Allmand Brothers, Inc.|March|1998-04-10|1998-06-15|$300.00|REDUCED|$0.00|1998-07-01||
56|Allmand Brothers, Inc.|April|1998-05-11|1998-06-15|$300.00|REDUCED|$0.00|1998-07-01||
57|Ambassador Investigative Group, Inc.|February|1998-03-10|1998-05-13|$300.00|REDUCED|$0.00|1998-06-09||
58|Ambassador Investigative Group, Inc.|April|1998-05-11|1998-05-13|$20.00|REDUCED|$0.00|1998-06-09||
59|America West Airlines|April|1998-05-11|1998-05-18|$70.00|REDUCED|$0.00|||
60|American Communications Group, Inc.|February|1998-03-10|1998-04-10|$300.00|PAID||||
61|American Communications Group|October|1997-11-10|1997-11-12|$20.00|PAID||||
62|American Communications Group|February|1997-03-10|1997-08-15|$300.00|PAID||||
63|American Communications Group|July|1997-08-11|1997-08-15|$40.00|PAID||||
64|American Communications Group|October|1996-11-12|1996-11-21|$90.00|PAID||||
65|American Communications Group|April|1996-05-10|1996-06-07|$280.00|REDUCED|$0.00|1996-07-09||
66|American Consulting Engineers|November|1997-12-10|1997-05-29|$300.00|REDUCED|$0.00|1997-06-12||
67|American Exchange Bank|September|1996-10-10|1996-11-21|$300.00|REDUCED|$0.00|1997-01-03||
68|American Federation of State, County and Municipal Employees|April|1996-05-10|1996-05-16|$60.00|PAID||||
69|American Title Insurance Companies|April|1998-05-11|1998-06-12|$300.00|REDUCED|$0.00|1998-06-23||
70|American Investment Corp.|April|1996-05-10|1996-09-09|$300.00|REDUCED|$0.00|1996-09-27||
71|Ameritas Investment |January|1996-06-10|1996-09-09|$300.00|REDUCED|$0.00|1996-09-27||
72|H E Anderson Investment Corporation|May|1996-06-10|1996-07-09|$290.00|REDUCED|$0.00|1996-08-05||
73|Anderson, Creager, Wittstruck, PC|October|1996-11-12|1997-01-30|$300.00|REDUCED|$0.00|1997-03-17||
74|Anderson Management|March|1997-04-10|1997-06-10|$300.00|REDUCED|$0.00|1997-06-25||
75|Anderson Partners, Inc.|December|1998-01-12|1998-01-16|$40.00|REDUCED|$0.00|1998-02-04||
76|Scott Anderson Group|February|1997-03-10|1997-06-18|$300.00|REDUCED|$0.00|1997-06-27||
77|Scott Anderson Group|March|1997-04-10|1997-06-18|$300.00|REDUCED|$0.00|1997-06-27||
78|Andrews Van Lines, Inc.|May|1996-06-10|1996-06-27|$170.00|PAID||1996-07-31||
79|Angelina's Inc, d/b/a Angie's Restaurant|March|1997-04-10|1997-05-07|$270.00|REDUCED|$0.00|1997-06-03||
80|Anheuser Busch Companies|January|1996-10-10|1996-10-15|$50.00|REDUCED|$0.00|1996-11-06||
81|Antelope Creek Cattle Co.|June|1997-07-10|1997-07-30|$200.00|REDUCED|$0.00|1997-08-08||
82|Apollo Building Corporation|April|1997-05-12|1997-06-09|$280.00|REDUCED|$0.00|1997-07-28||
83|Archer Daniels Midland Company|August|1996-09-10|1996-11-12|$300.00|PAID||||
84|Arjay Construction Company|February|1998-03-10|1998-04-06|$270.00|REDUCED|$0.00|1998-04-27||
85|Arps Red-E-Mix, Inc.|August|1997-09-10|1998-03-06|$300.00|REDUCED|$0.00|1998-03-16||
86|Art Jetter & Company|September|1997-10-10|1998-04-03|$300.00|REDUCED|$0.00|1998-04-10||
87|Art Jetter & Company|November|1997-12-10|1998-04-03|$300.00|REDUCED|$0.00|1998-04-10||
88|Asbestos Workers Local #39|March|1997-04-10|1998-01-14|$300.00|REDUCED|$0.00|1998-01-26||
89|Asbestos Workers Local #39|May|1997-06-10|1998-01-14|$300.00|REDUCED|$0.00|1998-01-26||
90|Asbestos Workers Local #39|October|1996-11-10|1998-01-14|$300.00|REDUCED|$0.00|1998-01-26||
91|Asbestos Workers Local #39|June|1996-07-10|1949-01-11|$300.00|REDUCED|$0.00|1998-01-26||
92|Ash Grove Cement Company|February|1997-03-10|1997-03-14|$40.00|REDUCED|$10.00|1997-05-06||
93|Ash Grove Cement Company|May|1996-06-10|1996-07-01|$210.00|REDUCED|$0.00|1996-08-05||
94|Associated Appraisers, Inc.|September|1996-10-10|1997-03-06|$300.00|REDUCED|$0.00|1997-04-02||
95|Atchley Ford, Inc.|January|1997-02-10|1997-05-20|$300.00|REDUCED|$0.00|1997-06-12||
96|Atchley Ford, Inc.|January|1997-05-12|1997-05-20|$80.00|RED/PAID|$10.00|1997-06-12||
97|Atchley Ford, Inc.|September|1996-10-10|1996-10-22|$120.00|REDUCED|$0.00|1996-11-26||
