Committee Name|Committee ID|Date Received|Transaction Date|Amount|Type of Transaction|Description
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-04-15|2002-01-25|500|C|RETURN ENRON CONTRIUBITON TO GREATER HOU
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-04-15|2002-01-24|2750|C|RETURN CONTRIBUTION - DAVID HUNTER ESTAT
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-04-15|2002-01-24|1100|C|RETURN CONTRIBUTION - STATE TITLE SVCS  
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-04-15|2002-01-24|2050|C|RETURN CONTRIBUTION- LINDA HUNTER       
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-01-29|2001-12-18|500|C|REFUND ENRON CONTRIBUTION               
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-01-29|2001-10-09|500|C|ENRON CONTRIBUTION                      
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2002-01-29|2001-03-13|19.77|C|REFUND DEPOSIT/DRESNER, WICKERS & ASSOCA
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2001-01-29|2000-10-18|367.5|C|NE GOP NAT'L CONV. PIN PURCHASE         
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2001-01-29|2000-04-13|64.02|C|NE GOP REIMBURSE FOR POSTAGE            
MIKE JOHANNS FOR GOVERNOR|99CAC00207|2001-01-29|2000-02-08|70|C|BIG RED SUB-XMAS CARD PURCHASE          
MIKE JOHANNS FOR GOVERNOR|99CAC00207|1999-01-28|1999-12-28|206.08|C|REFLECT CASH ON HAND                    
KEEFE FOR PUBLIC DEFENDER|99CAC00211|2008-01-31|2007-10-01|52.6|A|cancelled check prior expenditure
PAT KNAPP FOR ATTORNEY GENERAL (DISSOLVED)|99CAC00221|2000-01-31|1999-12-31|80|C|FIRST FEDERAL BANK ACCOUNT CHARGES      
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-12-31|1717.7|C|DONATION TO TAX-EXEMPT CHARITABLE INSTIT
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-12-30|250|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-12-17|617.42|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-12-01|19.72|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-11-07|37|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-10-16|2662.4|C|CD CASH IN                              
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2003-01-09|2002-10-16|28.84|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2002-01-09|2001-12-31|117.87|O|INTEREST ADDED TO CD                    
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2002-01-09|2001-09-28|30.09|C|EXPENDITURE                             
KOTSIOPULOS FOR CITY COUNCIL|99CAC00223|2001-01-11|2000-12-31|192.91|O|INTEREST ADDED TO $2300 C.D.            
KREMER FOR LEGISLATURE|99CAC00226|2002-06-24|2002-06-05|266.47|O|NE PRESS AD SVC REFUND OF OVERPAYMENT   
KREMER FOR LEGISLATURE|99CAC00226|2000-01-21|1999-01-05|200|O|GIFT OF MEMBERSHIP TO NE CLUB           
KREMER FOR LEGISLATURE|99CAC00226|2000-01-21|1999-01-10|0|O|PASSES TO DOUGLAS THEATRE CO            
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|2005-02-02|2004-12-31|28.94|C|SERVICE CHARGE                          
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|2004-01-28|2003-12-31|76|C|SERVICE CHARGE FROM ALEX MORENO FOR SHER
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|1999-12-30|1900-01-01|0|O|TO ADJUST AMOUNT 7.44 IS INCLUDED       
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|1999-12-30|1900-01-01|0|C|-.52.  ACCOUNT HAS BALANCE OF 6.92 IN OR
ALEX MORENO FOR SHERIFF (DISSOLVED)|99CAC00238|1999-12-30|1999-12-30|7.44|C|LINE 27 FINANCIAL STATEMENT SHOWS AMOUNT
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-07-17|3032.5|C|US WEST REFUND                          
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-07-09|32.92|C|NEWSPAPER SUBSCRIPTION REFUNDS          
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-12-31|20.99|O|ALIANT CHECK NOT CASHED                 
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-12-31|310.87|O|SPRINT CHECK NOT CASHED                 
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-12-31|60|O|HALL COUNTY CHECK NOT CASHED            
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1999-02-16|1327.35|C|SANDLER & INNOCENZI MEDIA REFUND        
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-10-12|.18|C|SPRINT CELL PHONE REFUND                
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-10-09|227.73|C|OFFICE DEPOT REFUND                     
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-09-23|14.33|C|SPRINT CELL PHONE REFUND                
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-09-23|99.72|C|ALIANT PHONE SVC REFUND                 
BRESLOW COMMITTEE, THE|99CAC00240|2000-01-27|1998-08-07|113|C|WORKERS COMP. PREMIUM REFUND            
FRIENDS TO ELECT CRAIG CHRISTIANSEN|99CAC00246|2001-01-30|2000-12-31|21|O|BANK FEES CKING ACCT WELLS FARGO BANK   
JONATHAN COOK FOR COUNCIL (AT LARGE)(DISSOLVED)|99CAC00248|2000-02-01|1999-06-14|1530|O|SALE OF YARD SIGNS TO "SOUTHWEST VOTERS 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2003-02-04|2002-07-31|377.56|C|VOID STALE DATED CHECKS                 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2002-02-04|2001-12-31|939.5|C|VOID STALE DATED CHECKS                 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2002-02-04|2001-07-24|376.52|C|REFUND POSTAL ACCOUNT                   
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2002-02-04|2001-07-02|586.14|C|OPPD REFUND                             
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2002-02-04|2001-07-02|787.77|C|QWEST REFUND                            
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2001-06-26|2001-06-18|542.02|C|REFUND FROM ALL MAKES OFFICE EQUIP. CO. 
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2001-06-26|2001-05-04|31836.39|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2001-06-26|2001-05-04|42805.28|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2001-06-26|2001-05-04|31321.95|C|CERTIFICATE OF DEPOSIT REDEEMED         
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2000-02-02|1999-09-14|313|O|REIM. DAUB PRIOR YEAR EXPENSE           
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2000-02-02|1999-08-27|263|O|REIM. DAUB PRIOR YEAR EXPENSE           
FRIENDS OF DAUB FOR MAYOR OF OMAHA (DONT USE)|99CAC00251|2000-02-02|1999-09-14|90986.18|O|BUY CERTIFICATE OF DEPOSITS             
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2005-01-27|2004-12-31|59.46|C|MONTHLY CHECKING ACCOUNT FEES           
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2003-02-04|2002-12-31|68.71|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2002-01-29|2001-12-31|120|C|CHECKING ACCT MAINTENANCE FEE (MONTHLY) 
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-12-31|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-11-30|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-10-31|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-09-30|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-08-31|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-07-31|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-06-30|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-05-31|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-04-30|10|C|CHECKING ACCOUNT MAINTENANCE FEE        
N.P. 'SANDY' DODGE FOR OPPD|99CAC00253|2001-01-04|2000-03-31|10.2|C|CHECKING ACCOUNT MAINTENANCE FEE        
DUDA FOR COUNTY BOARD|99CAC00255|2004-05-05|2004-04-07|11601|C|TRANSFER COD ACCOUNT TO CHECKING        
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|2005-01-07|2004-12-21|113.46|O|REFUND FROM NE PRESS ADV. OVERPAYMENT   
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|2004-10-22|2004-10-09|60.86|O|REFUND OF OVER PAYMENT , SILK SOREEN INC
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|2004-01-07|2003-06-30|20|C|VOID OLD CHECK #1385 PAYABLE ST MICHAELS
COMMITTEE TO ELECT LEO PAT ENGEL|99CAC00258|2000-06-19|1999-05-30|22.94|C|CHECK TO ALIANT CELLULAR DATED 1/7/99   
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2005-02-01|2004-12-31|43.95|C|INTEREST FOR 12 MONTHS                  
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2004-02-02|2003-12-31|47.3|C|INTEREST                                
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2003-01-29|2002-12-31|62.63|C|INTEREST FOR 12 MONTH PERIOD            
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2002-02-04|2001-12-31|60.8|C|INTEREST                                
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2001-02-01|2000-12-31|81.69|C|INT FOR 12 MONTH PERIOD 1-1-00-12-31-00 
COMMITTEE TO ELECT STEVE EXON (DISSOLVED)|99CAC00260|2000-02-01|1999-12-31|88.35|C|INTEREST FOR 12 MONTH PERIOD            
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|2001-02-01|2000-03-12|80|O|ANN MEMBERHSIP TO LINC INDEP BUS. ASSOCI
JEFF FORTENBERRY FOR CITY COUNCIL|99CAC00261|2001-02-01|2000-01-29|70|O|TICKETS TO MILLENIUM PARTY FOR SEN. CROS
FREEMAN FOR LEGISLATURE|99CAC00262|2000-08-21|2000-06-30|0|O|FUNDS TO OMAHA CHAPTER FRDM FOUND       
GARVER FOR SCHOOL BOARD|99CAC00263|2004-01-30|2003-12-31|50.61|C|BANK SERVICE FEES                       
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2004-02-04|2003-12-31|75|C|NEBRASKA ACCOUNTABILITY AND DISCLOSURE  
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2003-01-17|2002-11-01|100|C|NE ACCOUNTABILITY COMMISSION            
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2003-01-17|2002-05-07|50|C|NE ACCOUNTABILITY COMMISSION            
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2002-11-01|2002-05-07|50|C|NADC                                    
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2002-10-08|2002-05-07|50|C|NADC                                    
HALL FOR OPPD BOARD (DISSOLVED)|99CAC00269|2002-06-25|2002-05-07|50|C|NADC PAYMENT OF FEES                    
JONES FOR LEGISLATURE (DISSOLVED)|99CAC00273|2001-01-03|2000-11-15|296.02|O|CK FROM NE PRESS ADV-OVERPYMT MADE BY BA
KRISTENSEN FOR LEGISLATURE|99CAC00276|2002-01-31|2001-12-28|225|C|PROCEEDS OF SALE OF PRINTER             
KRISTENSEN FOR LEGISLATURE|99CAC00276|2002-01-31|2001-09-17|60.79|C|REFUND OF PHONE SVC FROM ALLTELL        
KRISTENSEN FOR LEGISLATURE|99CAC00276|2000-10-11|2000-10-05|500|O|CONTRIBUTION RETURNED                   
KRISTENSEN FOR LEGISLATURE|99CAC00276|2000-10-11|2000-10-05|500|O|CONTRIBUTION RETURNED                   
KRISTENSEN FOR LEGISLATURE|99CAC00276|2000-01-31|1999-01-07|250|C|PHILIP MORRIS STOP PAYMENT ON A CONTRIBU
KRISTENSEN FOR LEGISLATURE|99CAC00276|2000-01-31|1999-12-30|350|O|PROCEEDS FROM SALE OF OLD COMPUTER      
KRISTENSEN FOR LEGISLATURE|99CAC00276|1998-02-02|1997-12-31|650|O|COMPUTER SOLD TO LIESKE & KRISTENSEN    
LANDIS FOR PSC|99CAC00277|2008-01-28|2007-09-06|1000|A|Transfer from Savings to Checking
LANDIS FOR PSC|99CAC00277|2011-01-27|2010-07-07|54.86|A|Redeposit lost check issued to Verizon
LANDIS FOR PSC|99CAC00277|2011-01-27|2010-06-04|1000|A|Transfer from saving acct to checking
LANDIS FOR PSC|99CAC00277|2011-01-27|2010-03-01|1000|A|Transfer from savings acct. to checking
LANDIS FOR PSC|99CAC00277|2011-01-27|2010-03-03|-.03|A|Checking acct error
LANDIS FOR PSC|99CAC00277|2010-01-29|2009-11-16|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|2010-01-29|2009-10-13|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|2010-01-29|2009-08-19|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|2009-01-28|2008-12-02|1000|A|Transfer frm Savings Acct. to Checking A
LANDIS FOR PSC|99CAC00277|2009-01-28|2008-09-17|1000|A|Transfer frm Savings Acct. to Checking A
LANDIS FOR PSC|99CAC00277|2010-01-29|2009-05-05|1000|A|Transfor-savings to checking acct.
LANDIS FOR PSC|99CAC00277|2007-01-16|2006-12-30|-88.5|A|Transfer out to Savings
LANDIS FOR PSC|99CAC00277|2007-01-16|2006-12-31||A|
LANDIS FOR PSC|99CAC00277|2007-01-16|2006-12-12|6.8|A|Refund from NE Press Association
LANDIS FOR PSC|99CAC00277|2006-04-07|2006-02-13|10000|A|TRANSFER TO SAVINGS ACCOUNT
LANDIS FOR PSC|99CAC00277|2004-01-30|2003-05-06|30|C|VOIDED CHECK #557 FOR $30               
LANDIS FOR PSC|99CAC00277|2001-01-12|2000-11-14|5|C|LAST STMT CASH EXP $65.00 CK WAS ACTUALL
LANDIS FOR PSC|99CAC00277|1999-01-27|1998-01-01|100|C|RETURN OF CHECK #204 DATED 1995-11-08   
LANDIS FOR PSC|99CAC00277|1999-01-27|1998-01-01|45|C|RETURN OF CHECK #155 DATED 1994-10-04   
DAN LYNCH FOR LEGISLATURE|99CAC00279|1998-02-04|1997-12-31|80|C|REIMBURSEMENT OF OVERPAYMENT            
MATZKE FOR LEGISLATURE|99CAC00284|2001-01-10|2000-12-31|13.77|C|PAYMENT TO CFLA FUND TO DISSOLVE COMMITT
FRIENDS OF DREW MILLER|99CAC00286|1996-01-31|1995-02-01|149.7|C|INTEREST ON LOAN PAID TO BANK           
